course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude,census_name,raw_acres,dist_meters,final_acres
Hoover Country Club,3140 Club Dr,Birmingham,AL,35226-2704,Private,18 Holes,(205) 822-5707,-86.81748,33.399573,Vestavia Country Club,194.0405977417128,6063.212043126315,NA
Pine Tree Country Club,5100 Pine Whispers Dr,Birmingham,AL,35210-3429,Private,18 Holes,(205) 956-1599,-86.653914,33.527852,Mountain-Brook Country Club,186.11146708208878,8031.189140401586,NA
Vestavia Country Club,400 Beaumont Dr,Birmingham,AL,35216-1307,Private,27 Holes,(205) 822-8300,-86.772297,33.454757,Vestavia Country Club,194.0405977417128,11.706354863173447,194.0405977417128
Mountain Brook Club,19 Beechwood Rd,Birmingham,AL,35213-3955,Private,18 Holes,(205) 871-3769,-86.744309,33.495525,Mountain-Brook Country Club,186.11146708208878,0,186.11146708208878
Altadena Valley Golf & Country Club,2651 Alta Vista Dr,Birmingham,AL,35243,Semi Private,18 Holes,(530) 674-0475,-86.748825,33.417863,Vestavia Country Club,194.0405977417128,4182.944614182602,NA
Heatherwood Country Club,400 Saint Annes Dr,Birmingham,AL,35244-3621,Semi Private,18 Holes,(205) 991-7576,-86.749207,33.397505,Vestavia Country Club,194.0405977417128,6136.1589636886565,NA
Inverness Country Club,1 Country Club Drive,Birmingham,AL,35242-4031,Semi Private,18 Holes,(205) 991-8610,-86.766597,33.496983,Birmingham Country Club,259.5697291314572,0,259.5697291314572
Riverchase Country Club,2000 Club Rd,Birmingham,AL,35244-1412,Semi Private,18 Holes,(205) 988-8111,-86.826049,33.338098,Vestavia Country Club,194.0405977417128,12684.815035855961,NA
Country Club of Birmingham,3325 Country Club Rd,Birmingham,AL,35213-3636,Semi Private,36 Holes,(205) 879-4611,-86.765447,33.49841,Birmingham Country Club,259.5697291314572,0,259.5697291314572
Eagle Point Golf Club,4500 Eagle Point Dr,Birmingham,AL,35242-6906,Public,18 Holes,(205) 991-9070,-86.669263,33.399671,Vestavia Country Club,194.0405977417128,11143.480718574565,NA
Robert Trent Jones Golf Trail At Oxmoor Valley,100 Sunbelt Pkwy,Birmingham,AL,35211-5958,Public,54 Holes,(205) 942-1177,-86.877968,33.419409,Cooper Green Golf Course,98.39126732545097,5068.820457306239,NA
Ross Bridge Golf Resort,167 Sunbelt Pkwy,Birmingham,AL,35211-5959,Public,18 Holes,(205) 949-3185,-86.879498,33.392116,Woodward Country Club,128.86554008924048,8029.429904364292,NA
West Side Golf Center,3501 Cleburn Ave SW,Birmingham,AL,35221-1031,Public,9 Holes,(205) 923-2979,-86.89096,33.468352,Cooper Green Golf Course,98.39126732545097,2548.864507017441,NA
Boaz Golf Club,1715 Al Highway 205,Boaz,AL,35956-5901,Public,18 Holes,(256) 593-5501,-86.153561,34.173445,Albertville Country Club,103.67219765640826,13711.420794448864,NA
Dogwood Hills Golf Course,2385 Douglas Ave,Brewton,AL,36426-3555,Municipal,9 Holes,(251) 809-1750,-87.068132,31.144816,Colonial Acres Country Club,103.97132096917149,149830.02851075112,NA
Country Club of Brewton,700 Clubhouse Rd,Brewton,AL,36426-3376,Public,18 Holes,(251) 867-3408,-87.059413,31.209551,Colonial Acres Country Club,103.97132096917149,143211.3234131443,NA
Capstone Golf Club,16000 Capstone Blvd,Brookwood,AL,16000,Public,18 Holes,(205) 462-0590,-87.33057,33.237681,University of Alabama Golf Course,30.38908750598862,14522.912342601547,NA
Brundidge Country Club,Spring Hill Road,Brundidge,AL,36010,Private,9 Holes,(334) 735-3680,-85.816771,31.7202,Colonial Acres Country Club,103.97132096917149,78202.20609028795,NA
Hidden Valley Golf Course,607 County Road 393,Bryant,AL,35958-7031,Public,18 Holes,(256) 495-9608,-85.661585,34.974544,Colonial Golf and Country Club,96.4214060554992,85359.58137142955,NA
Choctaw Country Club,Country Club Drive,Butler,AL,36904,Private,9 Holes,(205) 459-2529,-88.188385,32.090062,Country Club of Tuscaloosa,92.87102200003747,135628.90806380182,NA
Timberline Golf Club,300 Timberline Trl,Calera,AL,35040-4679,Public,18 Holes,(205) 668-7888,-86.734914,33.102898,Vestavia Country Club,194.0405977417128,38442.3650406663,NA
Roland Cooper State Park Golf Course,285 Deer Run Dr,Camden,AL,36726-3825,Municipal,9 Holes,(334) 682-4838,-87.245535,32.055353,Colonial Acres Country Club,103.97132096917149,95985.33343345315,NA
Cherokee Country Club,Off Highway 9,Centre,AL,35960,Public,18 Holes,(256) 927-5070,-85.647439,34.112623,Albertville Country Club,103.67219765640826,54128.30256057079,NA
Cahaba Falls Country Club,530 2nd Street North,Centreville,AL,35042,Public,18 Holes,(205) 926-9323,-87.137499,32.968185,University of Alabama Golf Course,30.38908750598862,40358.39832266403,NA
Deerfield Country Club,16461 Saint Stephens Ave,Chatom,AL,16461,Public,18 Holes,(251) 847-2056,-88.205439,31.454237,Country Club of Tuscaloosa,92.87102200003747,202724.30477928117,NA
Deer Valley Links,246 Cain Rd,Chelsea,AL,35043-9020,Public,18 Holes,(205) 678-2292,-86.71452,33.322705,Vestavia Country Club,194.0405977417128,15036.07928224774,NA
Coosa Pines Golf Course,16615 Plant Rd,Childersburg,AL,16615,Public,18 Holes,(256) 378-5529,-86.358914,33.334061,Mountain-Brook Country Club,186.11146708208878,39131.102608618436,NA
Mill Creek,18350 Lakeview Dr,Citronelle,AL,18350,Municipal,18 Holes,(251) 866-7881,-88.310005,31.073651,Colonial Acres Country Club,103.97132096917149,236850.773148365,NA
Clanton Country Club,1 Country Club Drive,Clanton,AL,35045,Public,9 Holes,(205) 755-0415,-86.609619,32.81974,Montgomery Country Club,127.75990331007415,59757.532499825495,NA
Magnolia Meadows Golf Course,315 Highway 47 S,Columbiana,AL,35051-9345,Public,18 Holes,(205) 670-0001,-86.605427,33.169582,Vestavia Country Club,194.0405977417128,34782.796368683994,NA
Riverbend Golf Course,1612 Mountain View Rd,Cordova,AL,35550-4028,Public,18 Holes,(205) 648-4393,-87.134163,33.791068,Horse Creek Mun Golf Course,211.92787342835427,8203.670036493295,NA
Valley Landing Golf Course,985 County Road 595,Courtland,AL,35618-3460,Municipal,18 Holes,(256) 637-8735,-87.351811,34.670338,McFarland Municipal Golf Course and Park,134.73466204774354,32386.160113349182,NA
Roundabout Plantation,321 Roundabout Dr,Cowarts,AL,36321-5506,Public,18 Holes,(334) 793-3300,-85.306541,31.226876,Lakewood Golf Course,92.56804384411222,144140.4943638813,NA
Terri Pines Country Club,700 Pine Hill Dr,Cullman,AL,35057-6961,Semi Private,18 Holes,(256) 739-0720,-86.889256,34.224233,Arab Country Club,105.86651118903929,35067.53150329012,NA
Chesley Oaks Golf Course,1035 County Road 1583,Cullman,AL,35058-1400,Public,18 Holes,(256) 796-9808,-86.670194,34.249113,Arab Country Club,105.86651118903929,15680.224165030353,NA
StillWaters Golf and Country Club,797 Moonbrook Dr,Dadeville,AL,36853-5645,Public,18 Holes,(256) 825-1353,-85.805971,32.745816,Arrowhead Country Club,170.79053391072802,51078.81133118026,NA
Lake Forest Yacht & Country Club,1 Golf Ter,Daphne,AL,36526-7657,Semi Private,27 Holes,(251) 626-9324,-87.895203,30.649638,Colonial Acres Country Club,103.97132096917149,240371.48963554998,NA
Isle Dauphine Club Golf Course,100 Orleans Dr,Dauphin Island,AL,36528-4314,Public,18 Holes,(251) 861-2433,-88.11597,30.247426,Colonial Acres Country Club,103.97132096917149,288618.160790437,NA
Point Mallard Golf Club,2600A Point Mallard Pkwy SE,Decatur,AL,35603-5604,Municipal,18 Holes,(256) 341-4925,-86.930105,34.545337,Athens Country Club and Golf Cs,134.73332339174803,23099.64943320811,NA
Decatur Country Club,2401 Country Club Rd SE,Decatur,AL,35601-6544,Private,18 Holes,(256) 353-3039,-86.96625,34.567514,Athens Country Club and Golf Cs,134.73332339174803,20707.42493063532,NA
Burningtree Country Club,2521 Burningtree Dr SE,Decatur,AL,35603-5138,Semi Private,18 Holes,(256) 355-5982,-86.933742,34.518897,Athens Country Club and Golf Cs,134.73332339174803,26024.333521299228,NA
Cedar Ridge Golf Course,3030 Modaus Rd SW,Decatur,AL,35603-4254,Public,18 Holes,(256) 353-4653,-87.049833,34.561342,Athens Country Club and Golf Cs,134.73332339174803,23298.719415608,NA
Indian Hills Golf Course,127 Par Dr,Decatur,AL,35603,Public,18 Holes,(256) 773-9939,-86.931083,34.494825,Athens Country Club and Golf Cs,134.73332339174803,28707.63979200885,NA
The Ravine Golf Course,748 Sportsplex Road,Demopolis,AL,36732,Municipal,18 Holes,(334) 289-1414,-87.791047,32.486124,Country Club of Tuscaloosa,92.87102200003747,81784.74336138795,NA
Demopolis Country Club,1620 Country Club Dr,Demopolis,AL,36732-3440,Private,18 Holes,(334) 289-0880,-87.859405,32.499999,Country Club of Tuscaloosa,92.87102200003747,81967.04347893115,NA
Horse Creek Golf Club,1745 Highway 78,Dora,AL,35062-2322,Municipal,18 Holes,(205) 648-1499,-87.058918,33.750913,Horse Creek Mun Golf Course,211.92787342835427,13.563071846136014,211.92787342835427
Dothan Country Club,200 S Cherokee Ave,Dothan,AL,36301-1282,Private,18 Holes,(334) 792-6650,-85.417632,31.22387,Arrowhead Country Club,170.79053391072802,144587.4872239306,NA
Dothan National Golf Club & Hotel,7410 S U S 231,Dothan,AL,36301-7822,Public,18 Holes,(800) 214-1150,-85.404517,31.120801,Arrowhead Country Club,170.79053391072802,155362.15670130384,NA
Green Hill Golf Course,2600 Campbellton Hwy,Dothan,AL,36301-7636,Public,18 Holes,(334) 792-3597,-85.421542,31.15937,Arrowhead Country Club,170.79053391072802,150799.99453217667,NA
Highland Oaks Golf Course,904 Royal Pkwy,Dothan,AL,36305-6922,Public,36 Holes,(334) 712-2820,-85.49638,31.226907,Colonial Acres Country Club,103.97132096917149,140836.6424467782,NA
Highland Oaks Par 3 Golf Course,904 Royal Pkwy,Dothan,AL,36305-6922,Public,9 Holes,(334) 712-2820,-85.49638,31.226907,Colonial Acres Country Club,103.97132096917149,140836.6424467782,NA
High Pointe Golf Club,4603 Golfway Dr,Eight Mile,AL,36613-3733,Municipal,9 Holes,(251) 452-6531,-88.168015,30.756027,Colonial Acres Country Club,103.97132096917149,249309.00193988066,NA
Elba Country Club,1477 Country Club Way,Elba,AL,36323,Private,9 Holes,(334) 897-6600,-86.097119,31.437234,Colonial Acres Country Club,103.97132096917149,98324.35941850692,NA
Soldiers Creek Golf Club At Woerner Preserve,12096 County Road 95,Elberta,AL,12096,Public,18 Holes,(251) 986-8633,-87.547564,30.403182,Colonial Acres Country Club,103.97132096917149,244156.1069331455,NA
Marcum Golf Course,9621 Bagley Rd,Empire,AL,35063-5119,Public,18 Holes,(205) 647-3377,-86.956142,33.792773,Horse Creek Mun Golf Course,211.92787342835427,10569.985954468902,NA
Enterprise Country Club,3000 Ozark Hwy,Enterprise,AL,36330-8246,Private,18 Holes,(334) 347-2726,-85.831816,31.360296,Colonial Acres Country Club,103.97132096917149,113357.11081865092,NA
Tartan Pines Golf Club,423 Tartan Way,Enterprise,AL,36330-2315,Public,18 Holes,(334) 393-8000,-85.879854,31.312646,Colonial Acres Country Club,103.97132096917149,116794.46590797973,NA
Lake Point Resort State Park Golf Course,104 Lakepoint Dr,Eufaula,AL,36027-4612,Municipal,18 Holes,(334) 687-6677,-85.114176,31.98767,Lakewood Golf Course,92.56804384411222,57723.06269016041,NA
Eufaula Country Club,2650 Country Club Rd,Eufaula,AL,36027-5907,Private,18 Holes,(334) 687-2007,-85.172012,31.88752,Lakewood Golf Course,92.56804384411222,69586.17055329603,NA
Red Eagle Golf Course,101 Merion Dr,Eufaula,AL,36027-3631,Public,18 Holes,(334) 687-8003,-85.157631,31.821922,Lakewood Golf Course,92.56804384411222,76548.221876578,NA
Greene County Golf Course,Lower Gainesville Road,Eutaw,AL,35462,Municipal,9 Holes,(205) 372-4144,-87.938072,32.852601,Country Club of Tuscaloosa,92.87102200003747,50364.83969178175,NA
Evergreen Golf Course,Highway 31 North,Evergreen,AL,36401,Public,9 Holes,(251) 578-5214,-86.887753,31.43712,Colonial Acres Country Club,103.97132096917149,113122.74395245293,NA
Quail Creek Golf Course,19841 Quail Creek Dr,Fairhope,AL,19841,Municipal,18 Holes,(251) 990-0240,-87.844066,30.513396,Colonial Acres Country Club,103.97132096917149,249319.83924224673,NA
Rock Creek Golf Club,140 Clubhouse Dr,Fairhope,AL,36532-3372,Public,18 Holes,(251) 928-4223,-87.88837,30.573041,Colonial Acres Country Club,103.97132096917149,246604.99908561463,NA
Fayette Country Club,303 County Road 16,Fayette,AL,35555,Private,9 Holes,(205) 932-4079,-87.872075,33.685932,Ol' Colony Golf Course,60.107821111289496,56500.530324506166,NA
Dogwood Hills Golf Club,26460 Al Highway 71,Flat Rock,AL,26460,Public,18 Holes,(256) 632-3634,-85.658124,34.824072,Albertville Country Club,103.67219765640826,76358.4126370154,NA
Blackberry Trail Golf Course,112 Clubhouse Dr,Florence,AL,35630-8922,Municipal,18 Holes,(256) 740-8825,-87.630083,34.861748,Florence Golf and Country Club,96.31083735373731,8735.3708577413,NA
Florence Golf & Country Club,450 Country Club Dr,Florence,AL,35630-0734,Private,18 Holes,(256) 766-1427,-87.714906,34.810585,Florence Golf and Country Club,96.31083735373731,190.75188304198338,96.31083735373731
Glenlakes Golf Club,9530 Clubhouse Dr,Foley,AL,36535-9326,Public,27 Holes,(251) 955-1220,-87.637127,30.364024,Colonial Acres Country Club,103.97132096917149,252225.5617447346,NA
Gulf Links Executive Golf Course,3901 S McKenzie St,Foley,AL,36535-3719,Public,18 Holes,(251) 970-1444,-87.682934,30.357377,Colonial Acres Country Club,103.97132096917149,255121.75272833082,NA
Magnolia Springs Golf,10831 Magnolia Springs Hwy,Foley,AL,10831,Public,9 Holes,(251) 965-4653,-87.768043,30.381983,Colonial Acres Country Club,103.97132096917149,257167.60698873285,NA
De Soto Country Club,502 Crystal Lake Dr NE,Fort Payne,AL,35967-4204,Private,9 Holes,(256) 845-2571,-85.694491,34.462253,Albertville Country Club,103.67219765640826,49324.72235482888,NA
Terrapin Hills Country Club,5501 Club Dr NW,Fort Payne,AL,35967-8241,Private,18 Holes,(256) 845-4624,-85.687898,34.509586,Albertville Country Club,103.67219765640826,52039.45244173919,NA
Silver Wings Golf Course,Combat Road Bldg 20067,Fort Rucker,AL,20067,Public,54 Holes,(334) 598-2449,-85.692736,31.352046,Colonial Acres Country Club,103.97132096917149,119609.74601569492,NA
Twin Bridges Golf Course,901 Riverbend Dr,Gadsden,AL,35901-2569,Municipal,18 Holes,(256) 549-4866,-85.985059,34.025973,Albertville Country Club,103.67219765640826,35448.25441373672,NA
Gadsden Country Club,1884 Rainbow Dr,Gadsden,AL,35901-5504,Private,18 Holes,(256) 546-2011,-86.012825,33.975807,Albertville Country Club,103.67219765640826,39011.52146600039,NA
River Trace Golf Club,464 Nowlin St,Gadsden,AL,35903-1055,Public,18 Holes,(256) 546-8821,-85.986479,34.01053,Albertville Country Club,103.67219765640826,36817.821347888435,NA
Castle Pines Country Club,1600 Quail Ridge Dr,Gardendale,AL,35071-2873,Public,18 Holes,(205) 631-3140,-86.781718,33.660967,Boswell Golf Course,104.96202995045172,16259.682812076126,NA
River Oaks Golf Course,203 River Oaks Rd,Geneva,AL,36340,Public,9 Holes,(334) 684-6190,-85.862528,31.028007,Colonial Acres Country Club,103.97132096917149,147596.47553000672,NA
Briarmeade Golf Course,505 Ralph Ave,Glencoe,AL,35905-1014,Private,18 Holes,(256) 492-1150,-85.946376,33.96101,Albertville Country Club,103.67219765640826,43447.832578467714,NA
The Robert Trent Jones Golf Trail At Silver Lake,1 Sunbelt Pkwy,Glencoe,AL,35905-8840,Public,54 Holes,(256) 892-3268,-85.927814,33.884072,Albertville Country Club,103.67219765640826,51685.060235424746,NA
The Robert Trent Jones Golf Trail Par 3 At Silver Lake,1 Sunbelt Pkwy,Glencoe,AL,35905-8840,Public,9 Holes,(256) 892-3268,-85.927814,33.884072,Albertville Country Club,103.67219765640826,51685.060235424746,NA
Hatchett Creek Golf Course,Mount Olive Road,Goodwater,AL,35072,Public,9 Holes,(256) 839-5612,-86.099665,33.056103,Arrowhead Country Club,170.79053391072802,74901.9530441519,NA
Mountain View Golf Course,3200 Mountain View Dr,Graysville,AL,35073-9691,Public,45 Holes,(205) 674-8362,-86.940498,33.633344,Horse Creek Mun Golf Course,211.92787342835427,15839.86303824258,NA
Lakeview Country Club,Millwood Road,Greensboro,AL,36744,Public,9 Holes,(334) 624-8654,-87.634199,32.693137,Country Club of Tuscaloosa,92.87102200003747,56821.15036645471,NA
Greenville Country Club,902 Fort Dale Rd,Greenville,AL,36037-3611,Private,9 Holes,(334) 382-8312,-86.639508,31.846232,Colonial Acres Country Club,103.97132096917149,62103.02101252726,NA
The Robert Trent Jones Golf Trail At Cambrian Ridg,101 Sunbelt Pkwy,Greenville,AL,36037-7935,Public,63 Holes,(334) 382-9787,-86.686282,31.896111,Colonial Acres Country Club,103.97132096917149,60344.69589719903,NA
Pikeville Country Club,1310 Country Club Rd,Guin,AL,35563-3114,Private,18 Holes,(205) 921-9577,-87.905842,33.971968,Horse Creek Mun Golf Course,211.92787342835427,81557.62626943896,NA
