course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude,census_name,raw_acres,dist_meters,final_acres,census_acres
Aliceville Country Club,Highway 14 North,Aliceville,AL,35442,Private,18 Holes,(205) 367-7868,-88.141013,33.102758,Country Club of Tuscaloosa,92.871022,51956.83852,12.83879458,NA
Alpine Bay Resort,9855 Renfroe Rd,Alpine,AL,35014-6711,Public,18 Holes,(256) 268-2920,-86.300495,33.434675,Mountain-Brook Country Club,186.1114671,40805.27773,10.08318815,NA
Whippoorwill Golf Club,2920 County Highway 14,Altoona,AL,35952-6306,Public,18 Holes,(205) 466-7003,-86.435707,34.113605,Arab Country Club,105.8665112,24826.19199,6.134676171,NA
Old Pine Golf Course,24908 Harmony Church Rd,Andalusia,AL,24908,Public,9 Holes,(334) 222-3242,-86.377095,31.344885,Colonial Acres Country Club,103.971321,107687.9682,26.61023538,NA
Evans Barnes Golf Course,Lurleen B Wallace Jr College,Andalusia,AL,36420,Municipal,18 Holes,(334) 222-8400,-86.451201,31.321218,Colonial Acres Country Club,103.971321,111165.6594,27.46959026,NA
Andalusia Country Club,210 Country Club Dr,Andalusia,AL,36421-4204,Private,18 Holes,(334) 222-5282,-86.511445,31.315197,Colonial Acres Country Club,103.971321,112835.9758,27.88233379,NA
Indian Oaks Golf Club,201 Cherokee Trl,Anniston,AL,36206-1015,Public,18 Holes,(256) 820-4030,-85.87225,33.730704,Albertville Country Club,103.6721977,69198.43659,17.09927967,NA
Cane Creek Golf Course,2247 Baltzell Gate Road,Anniston,AL,36205,Municipal,18 Holes,(256) 820-9174,-85.792399,33.71603,Albertville Country Club,103.6721977,74114.64433,18.31409919,NA
Anniston Municipal Golf Course,1341 Johnston Dr,Anniston,AL,36207-4090,Municipal,9 Holes,(256) 231-7631,-85.810966,33.665031,Albertville Country Club,103.6721977,78262.79805,19.33912871,NA
Anniston Country Club,601 Highland Ave,Anniston,AL,36207-5856,Semi Private,18 Holes,(256) 237-8412,-85.818524,33.651845,Albertville Country Club,103.6721977,79258.73799,19.58523045,NA
Pine Hill Country Club,175 Pine Hill Dr,Anniston,AL,36207-8047,Public,18 Holes,(256) 237-2633,-85.703307,33.671577,Albertville Country Club,103.6721977,82669.15528,20.42796161,NA
Brookside Golf Course,Sundown Drive,Arab,AL,35016,Public,18 Holes,(256) 586-5765,-86.511111,34.326222,Arab Country Club,105.8665112,942.6637184,0.232936918,NA
Twin Lakes Golf Course,211 Golfview Dr NE,Arab,AL,35016-5412,Public,18 Holes,(256) 586-3269,-86.498066,34.343263,Arab Country Club,105.8665112,2602.982618,0.64321002,NA
Clay County Golf Course,158 Country Club Rd,Ashland,AL,36251-7852,Public,9 Holes,(256) 354-2814,-85.798765,33.280444,Mountain-Brook Country Club,186.1114671,90070.148,22.25678392,NA
Canebrake Golf Club,23015 Founders Cir,Athens,AL,23015,Public,19 Holes,(256) 232-2412,-86.91543,34.763744,Athens Country Club and Golf Cs,134.7333234,2555.567054,0.631493397,NA
Chriswood Golf Course,26181 Nick Davis Road,Athens,AL,26181,Public,18 Holes,(256) 232-9759,-86.857802,34.802979,Athens Country Club and Golf Cs,134.7333234,9171.559527,2.266338217,NA
Southern Gayles Golf Community,22230 Mooresville Rd,Athens,AL,22230,Public,18 Holes,(256) 232-9888,-86.875101,34.879828,Athens Country Club and Golf Cs,134.7333234,14690.75258,3.630158415,NA
Athens Golf & Country Club,518 Hatfield Lake Rd,Athens,AL,35611-8412,Public,9 Holes,(256) 232-0809,-86.954304,34.759613,Athens Country Club and Golf Cs,134.7333234,59.65410269,134.7333234,NA
Atmore Country Club,4474 Highway 31 South,Atmore,AL,36504,Private,9 Holes,(251) 368-4486,-87.492589,31.02483,Colonial Acres Country Club,103.971321,183752.9764,45.40627924,NA
Wills Creek Country Club,216 Country Club Rd,Attalla,AL,35954-2603,Public,18 Holes,(256) 538-8781,-86.096727,34.009726,Albertville Country Club,103.6721977,32648.91516,8.06771018,NA
Moore's Mill Golf Club,1957 Fairway Dr,Auburn,AL,36830-7627,Public,18 Holes,(334) 826-8989,-85.445537,32.580497,Lakewood Golf Course,4.209170236,39395.74303,9.734885083,NA
Indian Pines Golf Course,900 Country Club Dr,Auburn,AL,36830-5208,Municipal,18 Holes,(334) 821-0880,-85.441306,32.62367,Lakewood Golf Course,4.209170236,40240.962,9.943742915,NA
Auburn Links At Mill Creek,826 Shell Toomer Pkwy,Auburn,AL,36830-6958,Public,18 Holes,(334) 887-5151,-85.507329,32.554634,Lakewood Golf Course,4.209170236,44681.27892,11.04096743,NA
The Auburn University Club,1650 Yarbrough Farms Blvd,Auburn,AL,36830-2679,Semi Private,18 Holes,(334) 821-8381,-85.505203,32.632656,Lakewood Golf Course,4.209170236,46246.53369,11.42774971,NA
Holly Hills Country Club,Highway 59 South,Bay Minette,AL,36507,Private,9 Holes,(251) 937-8230,-87.773055,30.787791,Colonial Acres Country Club,103.971321,221091.5366,54.63282414,NA
Frank House Municipal Golf Course,801 Golf Course Rd,Bessemer,AL,35022-6001,Municipal,18 Holes,(205) 424-9540,-86.991577,33.367315,Woodward Country Club,128.8655401,7158.034943,1.768786225,NA
Bent Brook Golf Course,7900 Dickey Springs Rd,Bessemer,AL,35022-6378,Public,54 Holes,(205) 424-2368,-86.973348,33.33316,Woodward Country Club,128.8655401,10618.86265,2.623974054,NA
Woodward Golf & Country Club,2141 Wheel Dr,Bessemer,AL,35020-2611,Private,18 Holes,(205) 424-5500,-86.957834,33.428521,Woodward Country Club,128.8655401,0,128.8655401,NA
West Side Golf Center,3501 Cleburn Ave SW,Birmingham,AL,35221-1031,Public,9 Holes,(205) 923-2979,-86.89096,33.468352,Cooper Green Golf Course,98.39126733,2548.864507,0.629837164,NA
Altadena Valley Golf & Country Club,2651 Alta Vista Dr,Birmingham,AL,35243,Semi Private,18 Holes,(530) 674-0475,-86.748825,33.417863,Vestavia Country Club,194.0405977,4182.944614,1.033626529,NA
Robert Trent Jones Golf Trail At Oxmoor Valley,100 Sunbelt Pkwy,Birmingham,AL,35211-5958,Public,54 Holes,(205) 942-1177,-86.877968,33.419409,Cooper Green Golf Course,98.39126733,5068.820457,1.252530879,NA
Hoover Country Club,3140 Club Dr,Birmingham,AL,35226-2704,Private,18 Holes,(205) 822-5707,-86.81748,33.399573,Vestavia Country Club,194.0405977,6063.212043,1.498250012,NA
Heatherwood Country Club,400 Saint Annes Dr,Birmingham,AL,35244-3621,Semi Private,18 Holes,(205) 991-7576,-86.749207,33.397505,Vestavia Country Club,194.0405977,6136.158964,1.516275561,NA
Ross Bridge Golf Resort,167 Sunbelt Pkwy,Birmingham,AL,35211-5959,Public,18 Holes,(205) 949-3185,-86.879498,33.392116,Woodward Country Club,128.8655401,8029.429904,1.984112277,NA
Pine Tree Country Club,5100 Pine Whispers Dr,Birmingham,AL,35210-3429,Private,18 Holes,(205) 956-1599,-86.653914,33.527852,Mountain-Brook Country Club,186.1114671,8031.18914,1.984546993,NA
Roebuck Municipal Golf Course,8920 Roebuck Blvd,Birmingham,AL,35206-1524,Municipal,18 Holes,(205) 836-7318,-86.711209,33.582031,Mountain-Brook Country Club,186.1114671,9267.443738,2.290031685,NA
Greystone Golf & Country Club,4100 Greystone Dr,Birmingham,AL,35242-6409,Private,18 Holes,(205) 986-5125,-86.651369,33.429533,Mountain-Brook Country Club,186.1114671,10477.65906,2.589081942,NA
Eagle Point Golf Club,4500 Eagle Point Dr,Birmingham,AL,35242-6906,Public,18 Holes,(205) 991-9070,-86.669263,33.399671,Vestavia Country Club,194.0405977,11143.48072,2.753609803,NA
Greystone Golf & Country Club,330 Legacy Way,Birmingham,AL,35242-6042,Private,18 Holes,(205) 986-5160,-86.622465,33.454637,Mountain-Brook Country Club,186.1114671,11275.26361,2.786174015,NA
Riverchase Country Club,2000 Club Rd,Birmingham,AL,35244-1412,Semi Private,18 Holes,(205) 988-8111,-86.826049,33.338098,Vestavia Country Club,194.0405977,12684.81504,3.134481219,NA
Grayson Valley Country Club,2201 Grayson Valley Dr,Birmingham,AL,35235-2027,Private,18 Holes,(205) 854-2382,-86.642887,33.645754,Mountain-Brook Country Club,186.1114671,18197.30706,4.496645561,NA
Highland Park Golf Course,3300 Highland Ave S,Birmingham,AL,35205-1411,Public,18 Holes,(205) 322-1902,-86.779392,33.512479,Boswell Golf Course,104.96203,0,104.96203,NA
Mountain Brook Club,19 Beechwood Rd,Birmingham,AL,35213-3955,Private,18 Holes,(205) 871-3769,-86.744309,33.495525,Mountain-Brook Country Club,186.1114671,0,186.1114671,NA
Vestavia Country Club,400 Beaumont Dr,Birmingham,AL,35216-1307,Private,27 Holes,(205) 822-8300,-86.772297,33.454757,Vestavia Country Club,194.0405977,11.70635486,194.0405977,NA
Inverness Country Club,1 Country Club Drive,Birmingham,AL,35242-4031,Semi Private,18 Holes,(205) 991-8610,-86.766597,33.496983,Birmingham Country Club,259.5697291,0,259.5697291,NA
Country Club of Birmingham,3325 Country Club Rd,Birmingham,AL,35213-3636,Semi Private,36 Holes,(205) 879-4611,-86.765447,33.49841,Birmingham Country Club,259.5697291,0,259.5697291,NA
Boaz Golf Club,1715 Al Highway 205,Boaz,AL,35956-5901,Public,18 Holes,(256) 593-5501,-86.153561,34.173445,Albertville Country Club,103.6721977,13711.42079,3.388160635,NA
Country Club of Brewton,700 Clubhouse Rd,Brewton,AL,36426-3376,Public,18 Holes,(251) 867-3408,-87.059413,31.209551,Colonial Acres Country Club,103.971321,143211.3234,35.38823407,NA
Dogwood Hills Golf Course,2385 Douglas Ave,Brewton,AL,36426-3555,Municipal,9 Holes,(251) 809-1750,-87.068132,31.144816,Colonial Acres Country Club,103.971321,149830.0285,37.0237492,NA
Capstone Golf Club,16000 Capstone Blvd,Brookwood,AL,16000,Public,18 Holes,(205) 462-0590,-87.33057,33.237681,University of Alabama Golf Course,30.38908751,14522.91234,3.588684254,NA
Brundidge Country Club,Spring Hill Road,Brundidge,AL,36010,Private,9 Holes,(334) 735-3680,-85.816771,31.7202,Colonial Acres Country Club,103.971321,78202.20609,19.32415614,NA
Hidden Valley Golf Course,607 County Road 393,Bryant,AL,35958-7031,Public,18 Holes,(256) 495-9608,-85.661585,34.974544,Colonial Golf and Country Club,96.42140606,85359.58137,21.09277935,NA
Choctaw Country Club,Country Club Drive,Butler,AL,36904,Private,9 Holes,(205) 459-2529,-88.188385,32.090062,Country Club of Tuscaloosa,92.871022,135628.9081,33.51458133,NA
Timberline Golf Club,300 Timberline Trl,Calera,AL,35040-4679,Public,18 Holes,(205) 668-7888,-86.734914,33.102898,Vestavia Country Club,194.0405977,38442.36504,9.499300613,NA
Roland Cooper State Park Golf Course,285 Deer Run Dr,Camden,AL,36726-3825,Municipal,9 Holes,(334) 682-4838,-87.245535,32.055353,Colonial Acres Country Club,103.971321,95985.33343,23.71845582,NA
Cherokee Country Club,Off Highway 9,Centre,AL,35960,Public,18 Holes,(256) 927-5070,-85.647439,34.112623,Albertville Country Club,103.6721977,54128.30256,13.3753742,NA
Cahaba Falls Country Club,530 2nd Street North,Centreville,AL,35042,Public,18 Holes,(205) 926-9323,-87.137499,32.968185,University of Alabama Golf Course,30.38908751,40358.39832,9.972762018,NA
Deerfield Country Club,16461 Saint Stephens Ave,Chatom,AL,16461,Public,18 Holes,(251) 847-2056,-88.205439,31.454237,Country Club of Tuscaloosa,92.871022,202724.3048,50.09418933,NA
Deer Valley Links,246 Cain Rd,Chelsea,AL,35043-9020,Public,18 Holes,(205) 678-2292,-86.71452,33.322705,Vestavia Country Club,194.0405977,15036.07928,3.715490371,NA
Coosa Pines Golf Course,16615 Plant Rd,Childersburg,AL,16615,Public,18 Holes,(256) 378-5529,-86.358914,33.334061,Mountain-Brook Country Club,186.1114671,39131.10261,9.66949111,NA
Mill Creek,18350 Lakeview Dr,Citronelle,AL,18350,Municipal,18 Holes,(251) 866-7881,-88.310005,31.073651,Colonial Acres Country Club,103.971321,236850.7731,58.5270103,NA
Clanton Country Club,1 Country Club Drive,Clanton,AL,35045,Public,9 Holes,(205) 755-0415,-86.609619,32.81974,Montgomery Country Club,127.7599033,59757.5325,14.76638507,NA
Magnolia Meadows Golf Course,315 Highway 47 S,Columbiana,AL,35051-9345,Public,18 Holes,(205) 670-0001,-86.605427,33.169582,Vestavia Country Club,194.0405977,34782.79637,8.595002897,NA
Riverbend Golf Course,1612 Mountain View Rd,Cordova,AL,35550-4028,Public,18 Holes,(205) 648-4393,-87.134163,33.791068,Horse Creek Mun Golf Course,211.9278734,8203.670036,2.027167884,NA
Valley Landing Golf Course,985 County Road 595,Courtland,AL,35618-3460,Municipal,18 Holes,(256) 637-8735,-87.351811,34.670338,McFarland Municipal Golf Course and Park,134.734662,32386.16011,8.002782095,NA
Roundabout Plantation,321 Roundabout Dr,Cowarts,AL,36321-5506,Public,18 Holes,(334) 793-3300,-85.306541,31.226876,Lakewood Golf Course,92.56804384,144140.4944,35.61783686,NA
Chesley Oaks Golf Course,1035 County Road 1583,Cullman,AL,35058-1400,Public,18 Holes,(256) 796-9808,-86.670194,34.249113,Arab Country Club,105.8665112,15680.22417,3.874661792,NA
Terri Pines Country Club,700 Pine Hill Dr,Cullman,AL,35057-6961,Semi Private,18 Holes,(256) 739-0720,-86.889256,34.224233,Arab Country Club,105.8665112,35067.5315,8.665362372,NA
StillWaters Golf and Country Club,797 Moonbrook Dr,Dadeville,AL,36853-5645,Public,18 Holes,(256) 825-1353,-85.805971,32.745816,Arrowhead Country Club,170.7905339,51078.81133,12.62182967,NA
Lake Forest Yacht & Country Club,1 Golf Ter,Daphne,AL,36526-7657,Semi Private,27 Holes,(251) 626-9324,-87.895203,30.649638,Colonial Acres Country Club,103.971321,240371.4896,59.39699695,NA
Isle Dauphine Club Golf Course,100 Orleans Dr,Dauphin Island,AL,36528-4314,Public,18 Holes,(251) 861-2433,-88.11597,30.247426,Colonial Acres Country Club,103.971321,288618.1608,71.31899062,NA
Decatur Country Club,2401 Country Club Rd SE,Decatur,AL,35601-6544,Private,18 Holes,(256) 353-3039,-86.96625,34.567514,Athens Country Club and Golf Cs,134.7333234,20707.42493,5.116908237,NA
Point Mallard Golf Club,2600A Point Mallard Pkwy SE,Decatur,AL,35603-5604,Municipal,18 Holes,(256) 341-4925,-86.930105,34.545337,Athens Country Club and Golf Cs,134.7333234,23099.64943,5.708038873,NA
Cedar Ridge Golf Course,3030 Modaus Rd SW,Decatur,AL,35603-4254,Public,18 Holes,(256) 353-4653,-87.049833,34.561342,Athens Country Club and Golf Cs,134.7333234,23298.71942,5.757230061,NA
Burningtree Country Club,2521 Burningtree Dr SE,Decatur,AL,35603-5138,Semi Private,18 Holes,(256) 355-5982,-86.933742,34.518897,Athens Country Club and Golf Cs,134.7333234,26024.33352,6.430742935,NA
Indian Hills Golf Course,127 Par Dr,Decatur,AL,35603,Public,18 Holes,(256) 773-9939,-86.931083,34.494825,Athens Country Club and Golf Cs,134.7333234,28707.63979,7.093801331,NA
The Ravine Golf Course,748 Sportsplex Road,Demopolis,AL,36732,Municipal,18 Holes,(334) 289-1414,-87.791047,32.486124,Country Club of Tuscaloosa,92.871022,81784.74336,20.20941901,NA
Demopolis Country Club,1620 Country Club Dr,Demopolis,AL,36732-3440,Private,18 Holes,(334) 289-0880,-87.859405,32.499999,Country Club of Tuscaloosa,92.871022,81967.04348,20.25446628,NA
Horse Creek Golf Club,1745 Highway 78,Dora,AL,35062-2322,Municipal,18 Holes,(205) 648-1499,-87.058918,33.750913,Horse Creek Mun Golf Course,211.9278734,13.56307185,211.9278734,NA
Highland Oaks Golf Course,904 Royal Pkwy,Dothan,AL,36305-6922,Public,36 Holes,(334) 712-2820,-85.49638,31.226907,Colonial Acres Country Club,103.971321,140836.6424,34.80143853,NA
Highland Oaks Par 3 Golf Course,904 Royal Pkwy,Dothan,AL,36305-6922,Public,9 Holes,(334) 712-2820,-85.49638,31.226907,Colonial Acres Country Club,103.971321,140836.6424,34.80143853,NA
Dothan Country Club,200 S Cherokee Ave,Dothan,AL,36301-1282,Private,18 Holes,(334) 792-6650,-85.417632,31.22387,Arrowhead Country Club,170.7905339,144587.4872,35.72829103,NA
Green Hill Golf Course,2600 Campbellton Hwy,Dothan,AL,36301-7636,Public,18 Holes,(334) 792-3597,-85.421542,31.15937,Arrowhead Country Club,170.7905339,150799.9945,37.26343265,NA
Dothan National Golf Club & Hotel,7410 S U S 231,Dothan,AL,36301-7822,Public,18 Holes,(800) 214-1150,-85.404517,31.120801,Arrowhead Country Club,170.7905339,155362.1567,38.39076573,NA
High Pointe Golf Club,4603 Golfway Dr,Eight Mile,AL,36613-3733,Municipal,9 Holes,(251) 452-6531,-88.168015,30.756027,Colonial Acres Country Club,103.971321,249309.0019,61.60550092,NA
Elba Country Club,1477 Country Club Way,Elba,AL,36323,Private,9 Holes,(334) 897-6600,-86.097119,31.437234,Colonial Acres Country Club,103.971321,98324.35942,24.29644083,NA
Soldiers Creek Golf Club At Woerner Preserve,12096 County Road 95,Elberta,AL,12096,Public,18 Holes,(251) 986-8633,-87.547564,30.403182,Colonial Acres Country Club,103.971321,244156.1069,60.3321948,NA
Marcum Golf Course,9621 Bagley Rd,Empire,AL,35063-5119,Public,18 Holes,(205) 647-3377,-86.956142,33.792773,Horse Creek Mun Golf Course,211.9278734,10569.98595,2.611896379,NA
Enterprise Country Club,3000 Ozark Hwy,Enterprise,AL,36330-8246,Private,18 Holes,(334) 347-2726,-85.831816,31.360296,Colonial Acres Country Club,103.971321,113357.1108,28.01110887,NA
Tartan Pines Golf Club,423 Tartan Way,Enterprise,AL,36330-2315,Public,18 Holes,(334) 393-8000,-85.879854,31.312646,Colonial Acres Country Club,103.971321,116794.4659,28.8604965,NA
Lake Point Resort State Park Golf Course,104 Lakepoint Dr,Eufaula,AL,36027-4612,Municipal,18 Holes,(334) 687-6677,-85.114176,31.98767,Lakewood Golf Course,92.56804384,57723.06269,14.26365741,NA
Eufaula Country Club,2650 Country Club Rd,Eufaula,AL,36027-5907,Private,18 Holes,(334) 687-2007,-85.172012,31.88752,Lakewood Golf Course,92.56804384,69586.17055,17.19509067,NA
Red Eagle Golf Course,101 Merion Dr,Eufaula,AL,36027-3631,Public,18 Holes,(334) 687-8003,-85.157631,31.821922,Lakewood Golf Course,92.56804384,76548.22188,18.91544837,NA
Greene County Golf Course,Lower Gainesville Road,Eutaw,AL,35462,Municipal,9 Holes,(205) 372-4144,-87.938072,32.852601,Country Club of Tuscaloosa,92.871022,50364.83969,12.44540371,NA
Evergreen Golf Course,Highway 31 North,Evergreen,AL,36401,Public,9 Holes,(251) 578-5214,-86.887753,31.43712,Colonial Acres Country Club,103.971321,113122.744,27.95319564,NA
Rock Creek Golf Club,140 Clubhouse Dr,Fairhope,AL,36532-3372,Public,18 Holes,(251) 928-4223,-87.88837,30.573041,Colonial Acres Country Club,103.971321,246604.9991,60.9373283,NA
Quail Creek Golf Course,19841 Quail Creek Dr,Fairhope,AL,19841,Municipal,18 Holes,(251) 990-0240,-87.844066,30.513396,Colonial Acres Country Club,103.971321,249319.8392,61.60817888,NA
Fayette Country Club,303 County Road 16,Fayette,AL,35555,Private,9 Holes,(205) 932-4079,-87.872075,33.685932,Ol' Colony Golf Course,60.10782111,56500.53032,13.96156355,NA
Dogwood Hills Golf Club,26460 Al Highway 71,Flat Rock,AL,26460,Public,18 Holes,(256) 632-3634,-85.658124,34.824072,Albertville Country Club,103.6721977,76358.41264,18.86854555,NA
Blackberry Trail Golf Course,112 Clubhouse Dr,Florence,AL,35630-8922,Municipal,18 Holes,(256) 740-8825,-87.630083,34.861748,Florence Golf and Country Club,96.31083735,8735.370858,2.158553816,NA
Florence Golf & Country Club,450 Country Club Dr,Florence,AL,35630-0734,Private,18 Holes,(256) 766-1427,-87.714906,34.810585,Florence Golf and Country Club,96.31083735,190.751883,96.31083735,NA
Glenlakes Golf Club,9530 Clubhouse Dr,Foley,AL,36535-9326,Public,27 Holes,(251) 955-1220,-87.637127,30.364024,Colonial Acres Country Club,103.971321,252225.5617,62.32619743,NA
Gulf Links Executive Golf Course,3901 S McKenzie St,Foley,AL,36535-3719,Public,18 Holes,(251) 970-1444,-87.682934,30.357377,Colonial Acres Country Club,103.971321,255121.7527,63.04186071,NA
Magnolia Springs Golf,10831 Magnolia Springs Hwy,Foley,AL,10831,Public,9 Holes,(251) 965-4653,-87.768043,30.381983,Colonial Acres Country Club,103.971321,257167.607,63.54740152,NA
De Soto Country Club,502 Crystal Lake Dr NE,Fort Payne,AL,35967-4204,Private,9 Holes,(256) 845-2571,-85.694491,34.462253,Albertville Country Club,103.6721977,49324.72235,12.18838552,NA
Terrapin Hills Country Club,5501 Club Dr NW,Fort Payne,AL,35967-8241,Private,18 Holes,(256) 845-4624,-85.687898,34.509586,Albertville Country Club,103.6721977,52039.45244,12.8592089,NA
Silver Wings Golf Course,Combat Road Bldg 20067,Fort Rucker,AL,20067,Public,54 Holes,(334) 598-2449,-85.692736,31.352046,Colonial Acres Country Club,103.971321,119609.746,29.55616629,NA
Twin Bridges Golf Course,901 Riverbend Dr,Gadsden,AL,35901-2569,Municipal,18 Holes,(256) 549-4866,-85.985059,34.025973,Albertville Country Club,103.6721977,35448.25441,8.759440907,NA
River Trace Golf Club,464 Nowlin St,Gadsden,AL,35903-1055,Public,18 Holes,(256) 546-8821,-85.986479,34.01053,Albertville Country Club,103.6721977,36817.82135,9.097867744,NA
Gadsden Country Club,1884 Rainbow Dr,Gadsden,AL,35901-5504,Private,18 Holes,(256) 546-2011,-86.012825,33.975807,Albertville Country Club,103.6721977,39011.52147,9.639942012,NA
Castle Pines Country Club,1600 Quail Ridge Dr,Gardendale,AL,35071-2873,Public,18 Holes,(205) 631-3140,-86.781718,33.660967,Boswell Golf Course,104.96203,16259.68281,4.017848921,NA
River Oaks Golf Course,203 River Oaks Rd,Geneva,AL,36340,Public,9 Holes,(334) 684-6190,-85.862528,31.028007,Colonial Acres Country Club,103.971321,147596.4755,36.47182709,NA
Briarmeade Golf Course,505 Ralph Ave,Glencoe,AL,35905-1014,Private,18 Holes,(256) 492-1150,-85.946376,33.96101,Albertville Country Club,103.6721977,43447.83258,10.73617667,NA
The Robert Trent Jones Golf Trail At Silver Lake,1 Sunbelt Pkwy,Glencoe,AL,35905-8840,Public,54 Holes,(256) 892-3268,-85.927814,33.884072,Albertville Country Club,103.6721977,51685.06024,12.77163681,NA
The Robert Trent Jones Golf Trail Par 3 At Silver Lake,1 Sunbelt Pkwy,Glencoe,AL,35905-8840,Public,9 Holes,(256) 892-3268,-85.927814,33.884072,Albertville Country Club,103.6721977,51685.06024,12.77163681,NA
