course_name,city,state,street_address,zip_code,final_acreage,acreage_source,longitude,latitude
Brundidge Country Club,Brundidge,AL,Spring Hill Road,36010,,No Match Found,-85.816771,31.7202
Hidden Valley Golf Course,Bryant,AL,607 County Road 393,35958-7031,,No Match Found,-85.661585,34.974544
Choctaw Country Club,Butler,AL,Country Club Drive,36904,86.70424944,OSM (Medium Reliability),-88.188385,32.090062
Timberline Golf Club,Calera,AL,300 Timberline Trl,35040-4679,,No Match Found,-86.734914,33.102898
Roland Cooper State Park Golf Course,Camden,AL,285 Deer Run Dr,36726-3825,,No Match Found,-87.245535,32.055353
Cherokee Country Club,Centre,AL,Off Highway 9,35960,,No Match Found,-85.647439,34.112623
Cahaba Falls Country Club,Centreville,AL,530 2nd Street North,35042,120.1716706,OSM (Medium Reliability),-87.137499,32.968185
Deerfield Country Club,Chatom,AL,16461 Saint Stephens Ave,16461,,No Match Found,-88.205439,31.454237
Deer Valley Links,Chelsea,AL,246 Cain Rd,35043-9020,,No Match Found,-86.71452,33.322705
Coosa Pines Golf Course,Childersburg,AL,16615 Plant Rd,16615,141.4705654,OSM (Medium Reliability),-86.358914,33.334061
Mill Creek,Citronelle,AL,18350 Lakeview Dr,18350,91.85027854,OSM (Medium Reliability),-88.310005,31.073651
Clanton Country Club,Clanton,AL,1 Country Club Drive,35045,63.1724562,OSM (Medium Reliability),-86.609619,32.81974
Magnolia Meadows Golf Course,Columbiana,AL,315 Highway 47 S,35051-9345,60.13742767,OSM (Medium Reliability),-86.605427,33.169582
Riverbend Golf Course,Cordova,AL,1612 Mountain View Rd,35550-4028,,No Match Found,-87.134163,33.791068
Valley Landing Golf Course,Courtland,AL,985 County Road 595,35618-3460,,No Match Found,-87.351811,34.670338
Roundabout Plantation,Cowarts,AL,321 Roundabout Dr,36321-5506,292.987846,OSM (Medium Reliability),-85.306541,31.226876
Terri Pines Country Club,Cullman,AL,700 Pine Hill Dr,35057-6961,123.5691239,OSM (Medium Reliability),-86.889256,34.224233
Chesley Oaks Golf Course,Cullman,AL,1035 County Road 1583,35058-1400,,No Match Found,-86.670194,34.249113
StillWaters Golf and Country Club,Dadeville,AL,797 Moonbrook Dr,36853-5645,,No Match Found,-85.805971,32.745816
Lake Forest Yacht & Country Club,Daphne,AL,1 Golf Ter,36526-7657,260.5558067,OSM (Medium Reliability),-87.895203,30.649638
Isle Dauphine Club Golf Course,Dauphin Island,AL,100 Orleans Dr,36528-4314,,No Match Found,-88.11597,30.247426
Point Mallard Golf Club,Decatur,AL,2600A Point Mallard Pkwy SE,35603-5604,,No Match Found,-86.930105,34.545337
Decatur Country Club,Decatur,AL,2401 Country Club Rd SE,35601-6544,92.26070192,OSM (Medium Reliability),-86.96625,34.567514
Burningtree Country Club,Decatur,AL,2521 Burningtree Dr SE,35603-5138,78.12939948,OSM (Medium Reliability),-86.933742,34.518897
Cedar Ridge Golf Course,Decatur,AL,3030 Modaus Rd SW,35603-4254,,No Match Found,-87.049833,34.561342
Indian Hills Golf Course,Decatur,AL,127 Par Dr,35603,103.7117939,OSM (Medium Reliability),-86.931083,34.494825
The Ravine Golf Course,Demopolis,AL,748 Sportsplex Road,36732,,No Match Found,-87.791047,32.486124
Demopolis Country Club,Demopolis,AL,1620 Country Club Dr,36732-3440,129.5710026,OSM (Medium Reliability),-87.859405,32.499999
Horse Creek Golf Club,Dora,AL,1745 Highway 78,35062-2322,211.9278734,Tigris (High Reliability),-87.058918,33.750913
Dothan Country Club,Dothan,AL,200 S Cherokee Ave,36301-1282,119.4479965,OSM (Medium Reliability),-85.417632,31.22387
Dothan National Golf Club & Hotel,Dothan,AL,7410 S U S 231,36301-7822,174.2777578,OSM (Medium Reliability),-85.404517,31.120801
Green Hill Golf Course,Dothan,AL,2600 Campbellton Hwy,36301-7636,,No Match Found,-85.421542,31.15937
Highland Oaks Golf Course,Dothan,AL,904 Royal Pkwy,36305-6922,,No Match Found,-85.49638,31.226907
Highland Oaks Par 3 Golf Course,Dothan,AL,904 Royal Pkwy,36305-6922,,No Match Found,-85.49638,31.226907
High Pointe Golf Club,Eight Mile,AL,4603 Golfway Dr,36613-3733,,No Match Found,-88.168015,30.756027
Elba Country Club,Elba,AL,1477 Country Club Way,36323,,No Match Found,-86.097119,31.437234
Soldiers Creek Golf Club At Woerner Preserve,Elberta,AL,12096 County Road 95,12096,,No Match Found,-87.547564,30.403182
Marcum Golf Course,Empire,AL,9621 Bagley Rd,35063-5119,,No Match Found,-86.956142,33.792773
Enterprise Country Club,Enterprise,AL,3000 Ozark Hwy,36330-8246,157.3978559,OSM (Medium Reliability),-85.831816,31.360296
Tartan Pines Golf Club,Enterprise,AL,423 Tartan Way,36330-2315,243.6969969,OSM (Medium Reliability),-85.879854,31.312646
Lake Point Resort State Park Golf Course,Eufaula,AL,104 Lakepoint Dr,36027-4612,210.2230475,OSM (Medium Reliability),-85.114176,31.98767
Eufaula Country Club,Eufaula,AL,2650 Country Club Rd,36027-5907,125.0282523,OSM (Medium Reliability),-85.172012,31.88752
Red Eagle Golf Course,Eufaula,AL,101 Merion Dr,36027-3631,,No Match Found,-85.157631,31.821922
Greene County Golf Course,Eutaw,AL,Lower Gainesville Road,35462,51.6442864,OSM (Medium Reliability),-87.938072,32.852601
Evergreen Golf Course,Evergreen,AL,Highway 31 North,36401,78.84464709,OSM (Medium Reliability),-86.887753,31.43712
Quail Creek Golf Course,Fairhope,AL,19841 Quail Creek Dr,19841,47.4731317,OSM (Medium Reliability),-87.844066,30.513396
Rock Creek Golf Club,Fairhope,AL,140 Clubhouse Dr,36532-3372,,No Match Found,-87.88837,30.573041
Fayette Country Club,Fayette,AL,303 County Road 16,35555,,No Match Found,-87.872075,33.685932
Dogwood Hills Golf Club,Flat Rock,AL,26460 Al Highway 71,26460,169.5803108,OSM (Medium Reliability),-85.658124,34.824072
Blackberry Trail Golf Course,Florence,AL,112 Clubhouse Dr,35630-8922,154.989153,OSM (Medium Reliability),-87.630083,34.861748
Florence Golf & Country Club,Florence,AL,450 Country Club Dr,35630-0734,96.31083735,Tigris (High Reliability),-87.714906,34.810585
Glenlakes Golf Club,Foley,AL,9530 Clubhouse Dr,36535-9326,422.2163903,OSM (Medium Reliability),-87.637127,30.364024
Gulf Links Executive Golf Course,Foley,AL,3901 S McKenzie St,36535-3719,73.837752,OSM (Medium Reliability),-87.682934,30.357377
Magnolia Springs Golf,Foley,AL,10831 Magnolia Springs Hwy,10831,,No Match Found,-87.768043,30.381983
De Soto Country Club,Fort Payne,AL,502 Crystal Lake Dr NE,35967-4204,61.21748264,OSM (Medium Reliability),-85.694491,34.462253
Terrapin Hills Country Club,Fort Payne,AL,5501 Club Dr NW,35967-8241,168.9924043,OSM (Medium Reliability),-85.687898,34.509586
Silver Wings Golf Course,Fort Rucker,AL,Combat Road Bldg 20067,20067,224.5673109,OSM (Medium Reliability),-85.692736,31.352046
Twin Bridges Golf Course,Gadsden,AL,901 Riverbend Dr,35901-2569,,No Match Found,-85.985059,34.025973
Gadsden Country Club,Gadsden,AL,1884 Rainbow Dr,35901-5504,127.3907529,OSM (Medium Reliability),-86.012825,33.975807
River Trace Golf Club,Gadsden,AL,464 Nowlin St,35903-1055,,No Match Found,-85.986479,34.01053
Castle Pines Country Club,Gardendale,AL,1600 Quail Ridge Dr,35071-2873,165.1825564,OSM (Medium Reliability),-86.781718,33.660967
River Oaks Golf Course,Geneva,AL,203 River Oaks Rd,36340,,No Match Found,-85.862528,31.028007
Briarmeade Golf Course,Glencoe,AL,505 Ralph Ave,35905-1014,96.81828627,OSM (Medium Reliability),-85.946376,33.96101
The Robert Trent Jones Golf Trail At Silver Lake,Glencoe,AL,1 Sunbelt Pkwy,35905-8840,481.4092338,OSM (Medium Reliability),-85.927814,33.884072
The Robert Trent Jones Golf Trail Par 3 At Silver Lake,Glencoe,AL,1 Sunbelt Pkwy,35905-8840,481.4092338,OSM (Medium Reliability),-85.927814,33.884072
Hatchett Creek Golf Course,Goodwater,AL,Mount Olive Road,35072,,No Match Found,-86.099665,33.056103
Mountain View Golf Course,Graysville,AL,3200 Mountain View Dr,35073-9691,,No Match Found,-86.940498,33.633344
Lakeview Country Club,Greensboro,AL,Millwood Road,36744,118.4221349,OSM (Medium Reliability),-87.634199,32.693137
Greenville Country Club,Greenville,AL,902 Fort Dale Rd,36037-3611,64.65768601,OSM (Medium Reliability),-86.639508,31.846232
The Robert Trent Jones Golf Trail At Cambrian Ridg,Greenville,AL,101 Sunbelt Pkwy,36037-7935,369.7762415,OSM (Medium Reliability),-86.686282,31.896111
Pikeville Country Club,Guin,AL,1310 Country Club Rd,35563-3114,,No Match Found,-87.905842,33.971968
Gulf State Park Golf Course,Gulf Shores,AL,20115 State Highway 135,20115,,No Match Found,-87.678015,30.265806
Craft Farms Golf Resort,Gulf Shores,AL,3840 Cotton Creek Blvd,36542-2729,16.74625101,OSM (Medium Reliability),-87.669298,30.304795
Kiva Dunes,Gulf Shores,AL,815 Plantation Rd,36542-8286,,No Match Found,-87.888474,30.235553
Peninsula Golf & Racquet Club,Gulf Shores,AL,20 Peninsula Blvd,36542-8280,39.48133806,OSM (Medium Reliability),-87.773899,30.251587
The Golf Club of the Wharf,Gulf Shores,AL,520 Clubhouse Dr,36542-3490,167.4198615,OSM (Medium Reliability),-87.701114,30.270101
Lake Guntersville State Park Golf Course,Guntersville,AL,7966 Al Highway 227,35976-8280,,No Match Found,-86.217249,34.369603
Gunter's Landing,Guntersville,AL,1000 Gunters Landing Rd,35976-8627,,No Match Found,-86.255397,34.394562
Stoney Mountain Golf Course,Guntersville,AL,5200 Georgia Mountain Rd,35976-7229,,No Match Found,-86.388367,34.374594
Haleyville Country Club,Haleyville,AL,1331 Airport Road,35565,100.3302402,OSM (Medium Reliability),-87.604364,34.277349
Cullman Municipal Golf Club,Hanceville,AL,2321 County Road 490,35077-8125,124.1411329,OSM (Medium Reliability),-86.831362,34.110408
Quail Creek Golf Course & Conference Center,Hartselle,AL,233 Quail Creek Dr,35640-6952,,No Match Found,-86.863833,34.390421
Harvest Hills,Harvest,AL,791 Harvest Rd,35749-8625,,No Match Found,-86.740041,34.859823
Plantation Golf Club,Hayden,AL,11900 State Highway 160,11900,,No Match Found,-86.668003,33.949571
Headland Country Club,Headland,AL,4175 State Highway 134 E,36345-6403,,No Match Found,-85.260701,31.351977
Silver Ridge Golf Club,Horton,AL,195 Golf Club Dr,35980-8796,120.0146124,OSM (Medium Reliability),-86.372523,34.16761
Huntsville Municipal Golf Course,Huntsville,AL,2151 Airport Rd SW,35801-5364,,No Match Found,-86.584758,34.688979
Huntsville Country Club,Huntsville,AL,2601 Oakwood Ave NW,35810-4309,121.2402304,Tigris (High Reliability),-86.612913,34.749339
Valley Hill Country Club,Huntsville,AL,8300 Valley Hill Dr SE,35802-3228,55.39051926,OSM (Medium Reliability),-86.543117,34.657309
Redstone Golf Course,Huntsville,AL,4140 Goss Road,35898-0001,496.6916021,OSM (Medium Reliability),-86.668185,34.698434
The Ledges Country Club,Huntsville,AL,32 Castle Down Dr,35802-1295,18.14938777,OSM (Medium Reliability),-86.518341,34.671148
Monrovia Golf Course,Huntsville,AL,7130B Highway 72 W,35806,108.1087059,Tigris (High Reliability),-86.714329,34.75548
Sunset Landing Golf Course,Huntsville,AL,346 James Record Rd SW,35824-1514,140.279673,OSM (Medium Reliability),-86.773548,34.658224
Silver King Golf Club,Irvington,AL,7960 Edgar Roberts Rd,36544-4144,,No Match Found,-88.228975,30.44651
Jackson Links Golf Course,Jackson,AL,Pierce Memorial Park,36545,81.69186661,OSM (Medium Reliability),-87.891251,31.507903
Lake Winds Golf Course,Jacksons Gap,AL,95 County Road 40,36861-3142,116.710693,OSM (Medium Reliability),-85.873055,32.885532
Stoney Brook Golf Course,Jacksonville,AL,1505 Country Club Dr SW,36265-3367,,No Match Found,-85.773421,33.784875
Musgrove Country Club,Jasper,AL,916 Country Club Rd,35503-6006,178.4566566,OSM (Medium Reliability),-87.287201,33.905893
Curry Golf Course,Jasper,AL,100 Boardwalk Ln,35503-5677,,No Match Found,-87.211115,33.958805
Bear Branch Golf Club,Jasper,AL,3947 Holly Grove Rd,35501-7412,,No Match Found,-87.327934,33.835633
Turtle Point Yacht & Country Club,Killen,AL,1000 Country Club Dr,35645,252.3618998,OSM (Medium Reliability),-87.545134,34.843621
Riverside Country Club,Lanett,AL,2001 Cherry Drive,36863,242.169345,OSM (Medium Reliability),-85.215039,32.87264
Linden Country Club,Linden,AL,Highway 28 East,36748,,No Match Found,-87.767996,32.294162
Livingston Country Club,Livingston,AL,Country Club Road,35470,86.7130366,OSM (Medium Reliability),-88.201233,32.600854
Steelwood Country Club,Loxley,AL,31925 Steelwood Ridge Rd,31925,16.58211306,OSM (Medium Reliability),-87.722198,30.698332
Crenshaw County Rec Club,Luverne,AL,265 Mount Ida Highway,36049,87.50684881,OSM (Medium Reliability),-86.267266,31.702645
Marion Military Institute Golf Course,Marion,AL,1101 Washington St,36756-3213,,No Match Found,-87.318588,32.624491
Cypress Tree Golf Courses,Montgomery,AL,1461 March Street,36112,167.5732182,OSM (Medium Reliability),-86.360922,32.390946
Lakeview Country Club,McCalla,AL,21026 Agnes Dr,21026,,No Match Found,-87.144449,33.281056
Cloudmont Ski & Golf Resort,Mentone,AL,721 County Road 614,35984-2434,,No Match Found,-85.603204,34.537302
Colonial Golf Course,Meridianville,AL,400 Colonial Dr,35759-1008,96.42140606,Tigris (High Reliability),-86.597048,34.873146
Fox Run Golf Course,Meridianville,AL,870 McCollum Rd,35759-1716,,No Match Found,-86.537211,34.87911
The Pines Golf Club,Millbrook,AL,307 Deatsville Hwy,36054-1634,130.5518154,OSM (Medium Reliability),-86.375389,32.521738
Azalea City Golf Course,Mobile,AL,1000 Gaillard Dr,36608-2512,,No Match Found,-88.162398,30.710567
Gulf Pines Golf Club,Mobile,AL,167 Old Bay Front Dr,36615-1304,,No Match Found,-88.061674,30.640932
Magnolia Grove Golf Club,Mobile,AL,7001 Magnolia Grove Pkwy,36618-4824,10.46077436,OSM (Medium Reliability),-88.21261,30.737516
Country Club of Mobile,Mobile,AL,4101 Wimbledon Dr W,36608-2361,,No Match Found,-88.15335,30.68628
Heron Lakes Country Club,Mobile,AL,3851 Government Blvd,36693-4314,167.847841,OSM (Medium Reliability),-88.133828,30.642802
Spring Hill College Golf Course,Mobile,AL,4000 Dauphin St,36608-1780,130.3371116,OSM (Medium Reliability),-88.146485,30.685821
Vanity Fair Golf & Tennis Club,Monroeville,AL,613 Golf Dr,36460-2287,192.8193899,OSM (Medium Reliability),-87.340089,31.519735
Montevallo Golf Club,Montevallo,AL,1481 Shelby County Highway 204,35115,104.0869845,OSM (Medium Reliability),-86.873531,33.102673
Gateway Park Executive Golf Course,Montgomery,AL,3800 Davenport Pkwy,36105,,No Match Found,-86.326554,32.335042
Lagoon Park Golf Course,Montgomery,AL,2855 Lagoon Park Dr,36109-1112,165.843607,OSM (Medium Reliability),-86.221294,32.400294
Arrowhead Golf & Country Club,Montgomery,AL,50 Ocala Dr,36117-4139,170.7905339,Tigris (High Reliability),-86.144678,32.378926
Bonnie Crest Country Club,Montgomery,AL,1410 Federal Dr,36107-1124,,No Match Found,-86.272271,32.398724
Montgomery Country Club,Montgomery,AL,3001 Narrow Lane Rd,36106-2216,127.7599033,Tigris (High Reliability),-86.282368,32.351498
Wynlakes Golf & Country Club,Montgomery,AL,7900 Wynlakes Blvd,36117-5165,211.2901927,OSM (Medium Reliability),-86.149479,32.349475
Cottonwood Golf Club,Montgomery,AL,7160 Byron Nelson Blvd,36116-6046,236.682286,OSM (Medium Reliability),-86.174376,32.247291
Magnolia Golf Club,Montgomery,AL,3346 Elsberry Rd,36116-3018,103.971321,Tigris (High Reliability),-86.270866,32.318126
Tallapoosa Lakes Golf Course,Montgomery,AL,1501 Dozier Rd,36117-6422,139.262934,OSM (Medium Reliability),-86.135717,32.419455
Green Briar Golf Course,Morris,AL,1130 Morris Majestic Rd,35116-1832,41.05578958,OSM (Medium Reliability),-86.792639,33.75806
Deer Run Golf Course,Moulton,AL,1175 County Road 100,35650-5117,155.4124268,OSM (Medium Reliability),-87.311735,34.433911
Cypress Lakes Golf & Country Club,Muscle Shoals,AL,1311 E 6th St,35661-3519,,No Match Found,-87.659718,34.730226
The Shoals Golf Club,Muscle Shoals,AL,990 Sunbelt Pkwy,35661-4672,867.0913555,OSM (Medium Reliability),-87.535206,34.817814
Hidden Meadows Golf Course,Northport,AL,13000 Old Cove Rd,13000,301.5208529,OSM (Medium Reliability),-87.638899,33.293178
Heritage Golf Course,Oneonta,AL,671 Heritage Rd,35121-3022,,No Match Found,-86.46493,33.973678
Limestone Springs Golf Club,Oneonta,AL,3000 Colonial Dr,35121-3560,175.4348277,OSM (Medium Reliability),-86.56757,33.895796
Whispering Pines Golf Club,Oneonta,AL,765 Morton Rd,35121-7316,82.10688113,OSM (Medium Reliability),-86.407295,33.92928
Saugahatchee Country Club,Opelika,AL,3800 Bent Creek Rd,36804-7602,,No Match Found,-85.417515,32.600131
Grand National Golf Course,Opelika,AL,3000 Sunbelt Pkwy,36801-1117,844.8113079,OSM (Medium Reliability),-85.426491,32.676058
Opp Country Club,Opp,AL,Highway 84 West,36467,60.97197954,OSM (Medium Reliability),-86.284816,31.279539
Orange Beach Golf Center,Orange Beach,AL,4700 Easy St,36561,31.69567747,OSM (Medium Reliability),-87.60668,30.290876
The Robert Trent Jones Golf Trail@ Hampton Cove,Owens Cross Roads,AL,450 Old Highway 431,35763-9304,,No Match Found,-86.471284,34.659987
Cider Ridge Golf Club,Oxford,AL,200 Apple Blossom Way,36203-4806,367.1457098,OSM (Medium Reliability),-85.750792,33.594656
Ozark Country Club,Ozark,AL,815 Country Club Dr,36360-4731,,No Match Found,-85.614841,31.474832
Ballantrae Golf Course,Pelham,AL,1300 Ballantrae Club Dr,35124-6200,,No Match Found,-86.755997,33.260424
Oak Mt State Park Golf Course,Pelham,AL,Oak Mt State Park,35124,,No Match Found,-86.760144,33.332374
Pell City Country Club,Pell City,AL,2021 Golf Course Rd,35128,64.09227178,OSM (Medium Reliability),-86.258419,33.559699
