Program,Year,Period,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,PERRY,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,354",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,387",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BALDWIN,3,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,202",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,BUTLER,13,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,116",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CHOCTAW,23,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,456",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CLARKE,25,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,688",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,458",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,ESCAMBIA,53,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,763",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,768",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MONROE,99,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,399",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WASHINGTON,129,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,714",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,WILCOX,131,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,163",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,BLOUNT,9,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,006",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CALHOUN,15,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,855",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CHEROKEE,19,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,646",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CLEBURNE,29,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,160",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,CULLMAN,43,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,356",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,DE KALB,49,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,032",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,ETOWAH,55,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,646",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,JACKSON,71,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,511",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,MARSHALL,95,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,745",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,MOUNTAINS & EASTERN VALLEY,20,SAINT CLAIR,115,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,176",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,COLBERT,33,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,528",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,FRANKLIN,59,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,526",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAUDERDALE,77,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,183",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LAWRENCE,79,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,865",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,LIMESTONE,83,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,683",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MADISON,89,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,510",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MARION,93,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,186",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,MORGAN,103,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,130",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,NORTHERN VALLEY,10,WINSTON,133,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,005",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,BIBB,7,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,611",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHAMBERS,17,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,446",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CHILTON,21,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,464",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,CLAY,27,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,980",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,COOSA,37,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,950",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,FAYETTE,57,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,541",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,JEFFERSON,73,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,943",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LAMAR,75,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,910",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,LEE,81,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,018",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,PICKENS,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,633",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,RANDOLPH,111,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,005",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,SHELBY,117,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,118",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLADEGA,121,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,914",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TALLAPOOSA,123,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,062",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,TUSCALOOSA,125,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,742",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,UPPER PLAINS & PIEDMONT,30,WALKER,127,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,512",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,BARBOUR,5,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,617",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,COFFEE,31,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,859",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,COVINGTON,39,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,400",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,CRENSHAW,41,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,002",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,DALE,45,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,912",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,GENEVA,61,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,337",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,HENRY,67,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,328",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,HOUSTON,69,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,685",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,PIKE,109,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,381",7
CENSUS,2022,END OF DEC,COUNTY,ALABAMA,1,WIREGRASS,60,RUSSELL,113,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,820",7
CENSUS,2022,END OF DEC,COUNTY,ALASKA,2,KENAI PENINSULA,30,KENAI PENINSULA,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,828",(L)
CENSUS,2022,END OF DEC,COUNTY,ALASKA,2,MATANUSKA-SUSITNA-ANCHORAGE,20,ANCHORAGE,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"8,816",(L)
CENSUS,2022,END OF DEC,COUNTY,ALASKA,2,SOUTHEAST,40,JUNEAU,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"87,733",4.4
CENSUS,2022,END OF DEC,COUNTY,ALASKA,2,SOUTHWEST & WEST,50,ALEUTIAN ISLANDS,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,189,4.4
CENSUS,2022,END OF DEC,COUNTY,ALASKA,2,TANANA VALLEY,10,FAIRBANKS NORTH STAR,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,296",(L)
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,NORTHERN,10,APACHE,1,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,329,7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,NORTHERN,10,COCONINO,5,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,344,7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,NORTHERN,10,GILA,7,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,356,7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,NORTHERN,10,MOHAVE,15,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,045",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,NORTHERN,10,NAVAJO,17,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,325,7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,NORTHERN,10,YAVAPAI,25,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,325",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,COCHISE,3,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,695",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,GRAHAM,9,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,736,7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,GREENLEE,11,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,515",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,LAPAZ,12,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,604",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,MARICOPA,13,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"7,203",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,PIMA,19,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,504,7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,PINAL,21,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,148",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,SANTA CRUZ,23,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,575",7.8
CENSUS,2022,END OF DEC,COUNTY,ARIZONA,4,SOUTHERN,80,YUMA,27,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"8,662",7.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,CONWAY,29,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,149",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,FAULKNER,45,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,679",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,GARLAND,51,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"7,941",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,GRANT,53,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,912",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,HOT SPRING,59,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,629",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,PERRY,105,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,212",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,PULASKI,119,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,602",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,CENTRAL,50,SALINE,125,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,510",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,ARKANSAS,1,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,364",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CRITTENDEN,35,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,236",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,CROSS,37,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"4,223",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LEE,77,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,431",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,LONOKE,85,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,865",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,MONROE,95,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,754",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PHILLIPS,107,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,345",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,PRAIRIE,117,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,560",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,SAINT FRANCIS,123,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,503",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,EAST CENTRAL,60,WOODRUFF,147,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,916",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,BAXTER,5,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,094",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,CLEBURNE,23,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,631",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,FULTON,49,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,239",5.8
CENSUS,2022,END OF DEC,COUNTY,ARKANSAS,5,NORTH CENTRAL,20,IZARD,65,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,778",5.8
