course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude
Baldwin Golf Course,1500 South St,Baldwin City,KS,66006-4020,Municipal,9 Holes,,-95.200294,38.772264
Cannonball Golf Course,Highway 54,Greensburg,KS,67054,Private,9 Holes,,-99.312859,37.606119
Haddam Community Golf Course,Deer Road,Haddam,KS,66944,Public,9 Holes,,-97.294229,39.85936
Ben Hawes State Park Golf Course,400 Booth Field Rd,Owensboro,KY,42301-9273,Municipal,27 Holes,,-87.182363,37.793603
Bringhurst Golf Course,Masonic Drive,Alexandria,LA,71301,Public,9 Holes,,-92.465507,31.276543
Ruston Golf & Country Club,2000 S Vienna,Ruston,LA,,Private,18 Holes,(318) 255-1307,-92.637413,32.50676
Dennis Pines Golf Course,50 Golf Course Road,East Dennis,MA,,Municipal,18 Holes,(508) 385-8347,-70.155594,41.731541
Pontoosuc Lake Country Club,38 Kirkwood Drive,Pittsfield,MA,,Public,18 Holes,(413) 445-4217,-73.258987,42.493038
Tyngsboro Country Club,Pawtucket Boulevard,Tyngsboro,MA,,Public,18 Holes,(978) 649-7334,-71.419624,42.675816
Woburn Country Club,5 Country Club Road,Woburn,MA,,Municipal,9 Holes,(781) 933-9880,-71.167305,42.46254
The Golf Club At Harbor Shores,400 Klock Rd,Benton Harbor,MI,,Semi Private,18 Holes,(269) 927-4653,-86.461643,42.121482
Garland Resort,4700 N Red Oak Rd,Lewiston,MI,49756-7560,Public,72 Holes,,-84.313224,44.817246
Kerkhoven Community Golf Club,US Highway 12,Kerkhoven,MN,56252,Public,9 Holes,,-95.233423,45.161967
Union Golf Course,104 Fifth St,Union,MS,39365-2114,Public,9 Holes,,-89.115613,32.573386
Hill & Dale Golf Club,PO Box 28,Finley,ND,58230-0127,Semi Private,9 Holes,,-97.793054,47.52121
Lansford Golf Course,Off Highway 83,Lansford,ND,58750,Municipal,9 Holes,,-101.299262,48.62538
New England Golf Club,716 4th Ave E,New England,ND,58647-7503,Municipal,9 Holes,,-102.861697,46.538539
Pelican Beach Golf Club,Highway 2,Hyannis,NE,69350,Public,9 Holes,,-101.751025,41.998524
Lawrence Country Club,2233 Hwy 4,Lawrence,NE,68957-6016,Public,9 Holes,,-98.273539,40.29241
Springview Golf Club,N E of Town,Springview,NE,68778,Public,9 Holes,,-99.885991,42.88551
The Prairie Club,88897 State Hwy 97,Valentine,NE,88897,Semi Private,36 Holes,,-100.829642,42.722811
Carter Golf Club,27 Mechanic St,Lebanon,NH,,Public,9 Holes,(603) 448-4483,-72.255613,43.640405
North Conway Country Club,76 Norcross Circle,North Conway,NH,,Public,18 Holes,(603) 356-5244,-71.128471,44.051434
Holly Hills Golf Club,374 Alloway Friesburg Rd,Alloway,NJ,,Public,18 Holes,(856) 455-5115,-75.37571,39.558743
Glenwild Greens-Bloomingdale,102 Glenwild Ave,NJ,,07403-1543,Public,9 Holes,(973) 283-0888,-74.335117,41.011835
Latona Country Club,3806 Oak Rd,Buena,NJ,,Public,9 Holes,(856) 692-8149,-74.924278,39.496113
Twin Brook Golf Center,1251 Jumping Brook Road,Tinton Falls,NJ,,Public,18 Holes,(732) 922-1600,-74.08567,40.226189
Dietrich Memorial Golf Course,502 South Country Club Road,Anadarko,OK,,Public,9 Holes,(405) 247-2274,-98.220322,35.071079
Seiling Golf Course,Cedar and Sixth,Seiling,OK,,Public,9 Holes,(580) 922-3565,-98.929569,36.15166
The Patroit Golf Club,5790 N Patroit Dr,Owasso,OK,,Private,18 Holes,(918) 851-8758,-95.771883,36.23898
Bandon Dunes Golf Resort,57744 Round Lake Rd,Bandon,OR,57744,Public,72 Holes,,-124.389922,43.188228
Carolina Crossing Golf Club,140 Carolina Crossing Dr,York,SC,,Public,18 Holes,(803) 684-5878,-81.263908,35.02051
Selby Community Golf Course,S of Outskirts of Selby,Selby,SD,57472,Public,9 Holes,,-100.024134,45.507435
Wingfoot Golf Course,3169 Perry Browder Rd,Union City,TN,,Private,18 Holes,(731) 885-9922,-89.060562,36.466091
Victory Ranch Golf Club,7865 Victory Ranch Rd,Kamas,UT,84036-2160,Private,18 Holes,,-111.099518,40.741472
Green Mountain National Golf Course,Barrows Towne Road,Killington,VT,,Municipal,18 Holes,(888) 483-4653,-72.815361,43.694019
Gamble Sands,,Brewster,WA,98812,Public,18 Holes,(509) 436-8323,-119.651531,48.076011
