course_name,street_address,city,state,zip_code,course_type,holes,phone,longitude,latitude
Chriswood Golf Course,26181 Nick Davis Road,Athens,AL,26181,Public,18 Holes,(256) 232-9759,-86.857802,34.802979
Southern Gayles Golf Community,22230 Mooresville Rd,Athens,AL,22230,Public,18 Holes,(256) 232-9888,-86.875101,34.879828
Atmore Country Club,4474 Highway 31 South,Atmore,AL,36504,Private,9 Holes,(251) 368-4486,-87.492589,31.02483
Wills Creek Country Club,216 Country Club Rd,Attalla,AL,35954-2603,Public,18 Holes,(256) 538-8781,-86.096727,34.009726
Indian Pines Golf Course,900 Country Club Dr,Auburn,AL,36830-5208,Municipal,18 Holes,(334) 821-0880,-85.441306,32.62367
The Auburn University Club,1650 Yarbrough Farms Blvd,Auburn,AL,36830-2679,Semi Private,18 Holes,(334) 821-8381,-85.505203,32.632656
Auburn Links At Mill Creek,826 Shell Toomer Pkwy,Auburn,AL,36830-6958,Public,18 Holes,(334) 887-5151,-85.507329,32.554634
Moore's Mill Golf Club,1957 Fairway Dr,Auburn,AL,36830-7627,Public,18 Holes,(334) 826-8989,-85.445537,32.580497
Holly Hills Country Club,Highway 59 South,Bay Minette,AL,36507,Private,9 Holes,(251) 937-8230,-87.773055,30.787791
Frank House Municipal Golf Course,801 Golf Course Rd,Bessemer,AL,35022-6001,Municipal,18 Holes,(205) 424-9540,-86.991577,33.367315
Woodward Golf & Country Club,2141 Wheel Dr,Bessemer,AL,35020-2611,Private,18 Holes,(205) 424-5500,-86.957834,33.428521
Bent Brook Golf Course,7900 Dickey Springs Rd,Bessemer,AL,35022-6378,Public,54 Holes,(205) 424-2368,-86.973348,33.33316
Roebuck Municipal Golf Course,8920 Roebuck Blvd,Birmingham,AL,35206-1524,Municipal,18 Holes,(205) 836-7318,-86.711209,33.582031
Grayson Valley Country Club,2201 Grayson Valley Dr,Birmingham,AL,35235-2027,Private,18 Holes,(205) 854-2382,-86.642887,33.645754
Greystone Golf & Country Club,4100 Greystone Dr,Birmingham,AL,35242-6409,Private,18 Holes,(205) 986-5125,-86.651369,33.429533
Greystone Golf & Country Club,330 Legacy Way,Birmingham,AL,35242-6042,Private,18 Holes,(205) 986-5160,-86.622465,33.454637
Hoover Country Club,3140 Club Dr,Birmingham,AL,35226-2704,Private,18 Holes,(205) 822-5707,-86.81748,33.399573
Pine Tree Country Club,5100 Pine Whispers Dr,Birmingham,AL,35210-3429,Private,18 Holes,(205) 956-1599,-86.653914,33.527852
Vestavia Country Club,400 Beaumont Dr,Birmingham,AL,35216-1307,Private,27 Holes,(205) 822-8300,-86.772297,33.454757
Mountain Brook Club,19 Beechwood Rd,Birmingham,AL,35213-3955,Private,18 Holes,(205) 871-3769,-86.744309,33.495525
Altadena Valley Golf & Country Club,2651 Alta Vista Dr,Birmingham,AL,35243,Semi Private,18 Holes,(530) 674-0475,-86.748825,33.417863
Heatherwood Country Club,400 Saint Annes Dr,Birmingham,AL,35244-3621,Semi Private,18 Holes,(205) 991-7576,-86.749207,33.397505
Inverness Country Club,1 Country Club Drive,Birmingham,AL,35242-4031,Semi Private,18 Holes,(205) 991-8610,-86.766597,33.496983
Riverchase Country Club,2000 Club Rd,Birmingham,AL,35244-1412,Semi Private,18 Holes,(205) 988-8111,-86.826049,33.338098
Country Club of Birmingham,3325 Country Club Rd,Birmingham,AL,35213-3636,Semi Private,36 Holes,(205) 879-4611,-86.765447,33.49841
Eagle Point Golf Club,4500 Eagle Point Dr,Birmingham,AL,35242-6906,Public,18 Holes,(205) 991-9070,-86.669263,33.399671
Robert Trent Jones Golf Trail At Oxmoor Valley,100 Sunbelt Pkwy,Birmingham,AL,35211-5958,Public,54 Holes,(205) 942-1177,-86.877968,33.419409
Ross Bridge Golf Resort,167 Sunbelt Pkwy,Birmingham,AL,35211-5959,Public,18 Holes,(205) 949-3185,-86.879498,33.392116
West Side Golf Center,3501 Cleburn Ave SW,Birmingham,AL,35221-1031,Public,9 Holes,(205) 923-2979,-86.89096,33.468352
Highland Park Golf Course,3300 Highland Ave S,Birmingham,AL,35205-1411,Public,NA,(205) 322-1902,-86.779392,33.512479
Boaz Golf Club,1715 Al Highway 205,Boaz,AL,35956-5901,Public,18 Holes,(256) 593-5501,-86.153561,34.173445
Dogwood Hills Golf Course,2385 Douglas Ave,Brewton,AL,36426-3555,Municipal,9 Holes,(251) 809-1750,-87.068132,31.144816
Country Club of Brewton,700 Clubhouse Rd,Brewton,AL,36426-3376,Public,18 Holes,(251) 867-3408,-87.059413,31.209551
Capstone Golf Club,16000 Capstone Blvd,Brookwood,AL,16000,Public,18 Holes,(205) 462-0590,-87.33057,33.237681
Brundidge Country Club,Spring Hill Road,Brundidge,AL,36010,Private,9 Holes,(334) 735-3680,-85.816771,31.7202
Hidden Valley Golf Course,607 County Road 393,Bryant,AL,35958-7031,Public,18 Holes,(256) 495-9608,-85.661585,34.974544
Choctaw Country Club,Country Club Drive,Butler,AL,36904,Private,9 Holes,(205) 459-2529,-88.188385,32.090062
Timberline Golf Club,300 Timberline Trl,Calera,AL,35040-4679,Public,18 Holes,(205) 668-7888,-86.734914,33.102898
Roland Cooper State Park Golf Course,285 Deer Run Dr,Camden,AL,36726-3825,Municipal,9 Holes,(334) 682-4838,-87.245535,32.055353
Cherokee Country Club,Off Highway 9,Centre,AL,35960,Public,18 Holes,(256) 927-5070,-85.647439,34.112623
Cahaba Falls Country Club,530 2nd Street North,Centreville,AL,35042,Public,18 Holes,(205) 926-9323,-87.137499,32.968185
Deerfield Country Club,16461 Saint Stephens Ave,Chatom,AL,16461,Public,18 Holes,(251) 847-2056,-88.205439,31.454237
Deer Valley Links,246 Cain Rd,Chelsea,AL,35043-9020,Public,18 Holes,(205) 678-2292,-86.71452,33.322705
Coosa Pines Golf Course,16615 Plant Rd,Childersburg,AL,16615,Public,18 Holes,(256) 378-5529,-86.358914,33.334061
Mill Creek,18350 Lakeview Dr,Citronelle,AL,18350,Municipal,18 Holes,(251) 866-7881,-88.310005,31.073651
Clanton Country Club,1 Country Club Drive,Clanton,AL,35045,Public,9 Holes,(205) 755-0415,-86.609619,32.81974
Magnolia Meadows Golf Course,315 Highway 47 S,Columbiana,AL,35051-9345,Public,18 Holes,(205) 670-0001,-86.605427,33.169582
Riverbend Golf Course,1612 Mountain View Rd,Cordova,AL,35550-4028,Public,18 Holes,(205) 648-4393,-87.134163,33.791068
Valley Landing Golf Course,985 County Road 595,Courtland,AL,35618-3460,Municipal,18 Holes,(256) 637-8735,-87.351811,34.670338
Roundabout Plantation,321 Roundabout Dr,Cowarts,AL,36321-5506,Public,18 Holes,(334) 793-3300,-85.306541,31.226876
Terri Pines Country Club,700 Pine Hill Dr,Cullman,AL,35057-6961,Semi Private,18 Holes,(256) 739-0720,-86.889256,34.224233
Chesley Oaks Golf Course,1035 County Road 1583,Cullman,AL,35058-1400,Public,18 Holes,(256) 796-9808,-86.670194,34.249113
StillWaters Golf and Country Club,797 Moonbrook Dr,Dadeville,AL,36853-5645,Public,18 Holes,(256) 825-1353,-85.805971,32.745816
Lake Forest Yacht & Country Club,1 Golf Ter,Daphne,AL,36526-7657,Semi Private,27 Holes,(251) 626-9324,-87.895203,30.649638
Isle Dauphine Club Golf Course,100 Orleans Dr,Dauphin Island,AL,36528-4314,Public,18 Holes,(251) 861-2433,-88.11597,30.247426
Point Mallard Golf Club,2600A Point Mallard Pkwy SE,Decatur,AL,35603-5604,Municipal,18 Holes,(256) 341-4925,-86.930105,34.545337
Decatur Country Club,2401 Country Club Rd SE,Decatur,AL,35601-6544,Private,18 Holes,(256) 353-3039,-86.96625,34.567514
Burningtree Country Club,2521 Burningtree Dr SE,Decatur,AL,35603-5138,Semi Private,18 Holes,(256) 355-5982,-86.933742,34.518897
Cedar Ridge Golf Course,3030 Modaus Rd SW,Decatur,AL,35603-4254,Public,18 Holes,(256) 353-4653,-87.049833,34.561342
Indian Hills Golf Course,127 Par Dr,Decatur,AL,35603,Public,18 Holes,(256) 773-9939,-86.931083,34.494825
The Ravine Golf Course,748 Sportsplex Road,Demopolis,AL,36732,Municipal,18 Holes,(334) 289-1414,-87.791047,32.486124
Demopolis Country Club,1620 Country Club Dr,Demopolis,AL,36732-3440,Private,18 Holes,(334) 289-0880,-87.859405,32.499999
Horse Creek Golf Club,1745 Highway 78,Dora,AL,35062-2322,Municipal,18 Holes,(205) 648-1499,-87.058918,33.750913
Dothan Country Club,200 S Cherokee Ave,Dothan,AL,36301-1282,Private,18 Holes,(334) 792-6650,-85.417632,31.22387
Dothan National Golf Club & Hotel,7410 S U S 231,Dothan,AL,36301-7822,Public,18 Holes,(800) 214-1150,-85.404517,31.120801
Green Hill Golf Course,2600 Campbellton Hwy,Dothan,AL,36301-7636,Public,18 Holes,(334) 792-3597,-85.421542,31.15937
Highland Oaks Golf Course,904 Royal Pkwy,Dothan,AL,36305-6922,Public,36 Holes,(334) 712-2820,-85.49638,31.226907
Highland Oaks Par 3 Golf Course,904 Royal Pkwy,Dothan,AL,36305-6922,Public,9 Holes,(334) 712-2820,-85.49638,31.226907
High Pointe Golf Club,4603 Golfway Dr,Eight Mile,AL,36613-3733,Municipal,9 Holes,(251) 452-6531,-88.168015,30.756027
Elba Country Club,1477 Country Club Way,Elba,AL,36323,Private,9 Holes,(334) 897-6600,-86.097119,31.437234
Soldiers Creek Golf Club At Woerner Preserve,12096 County Road 95,Elberta,AL,12096,Public,18 Holes,(251) 986-8633,-87.547564,30.403182
Marcum Golf Course,9621 Bagley Rd,Empire,AL,35063-5119,Public,18 Holes,(205) 647-3377,-86.956142,33.792773
Enterprise Country Club,3000 Ozark Hwy,Enterprise,AL,36330-8246,Private,18 Holes,(334) 347-2726,-85.831816,31.360296
Tartan Pines Golf Club,423 Tartan Way,Enterprise,AL,36330-2315,Public,18 Holes,(334) 393-8000,-85.879854,31.312646
Lake Point Resort State Park Golf Course,104 Lakepoint Dr,Eufaula,AL,36027-4612,Municipal,18 Holes,(334) 687-6677,-85.114176,31.98767
Eufaula Country Club,2650 Country Club Rd,Eufaula,AL,36027-5907,Private,18 Holes,(334) 687-2007,-85.172012,31.88752
Red Eagle Golf Course,101 Merion Dr,Eufaula,AL,36027-3631,Public,18 Holes,(334) 687-8003,-85.157631,31.821922
Greene County Golf Course,Lower Gainesville Road,Eutaw,AL,35462,Municipal,9 Holes,(205) 372-4144,-87.938072,32.852601
Evergreen Golf Course,Highway 31 North,Evergreen,AL,36401,Public,9 Holes,(251) 578-5214,-86.887753,31.43712
Quail Creek Golf Course,19841 Quail Creek Dr,Fairhope,AL,19841,Municipal,18 Holes,(251) 990-0240,-87.844066,30.513396
Rock Creek Golf Club,140 Clubhouse Dr,Fairhope,AL,36532-3372,Public,18 Holes,(251) 928-4223,-87.88837,30.573041
Fayette Country Club,303 County Road 16,Fayette,AL,35555,Private,9 Holes,(205) 932-4079,-87.872075,33.685932
Dogwood Hills Golf Club,26460 Al Highway 71,Flat Rock,AL,26460,Public,18 Holes,(256) 632-3634,-85.658124,34.824072
Blackberry Trail Golf Course,112 Clubhouse Dr,Florence,AL,35630-8922,Municipal,18 Holes,(256) 740-8825,-87.630083,34.861748
Florence Golf & Country Club,450 Country Club Dr,Florence,AL,35630-0734,Private,18 Holes,(256) 766-1427,-87.714906,34.810585
Glenlakes Golf Club,9530 Clubhouse Dr,Foley,AL,36535-9326,Public,27 Holes,(251) 955-1220,-87.637127,30.364024
Gulf Links Executive Golf Course,3901 S McKenzie St,Foley,AL,36535-3719,Public,18 Holes,(251) 970-1444,-87.682934,30.357377
Magnolia Springs Golf,10831 Magnolia Springs Hwy,Foley,AL,10831,Public,9 Holes,(251) 965-4653,-87.768043,30.381983
De Soto Country Club,502 Crystal Lake Dr NE,Fort Payne,AL,35967-4204,Private,9 Holes,(256) 845-2571,-85.694491,34.462253
Terrapin Hills Country Club,5501 Club Dr NW,Fort Payne,AL,35967-8241,Private,18 Holes,(256) 845-4624,-85.687898,34.509586
Silver Wings Golf Course,Combat Road Bldg 20067,Fort Rucker,AL,20067,Public,54 Holes,(334) 598-2449,-85.692736,31.352046
Twin Bridges Golf Course,901 Riverbend Dr,Gadsden,AL,35901-2569,Municipal,18 Holes,(256) 549-4866,-85.985059,34.025973
Gadsden Country Club,1884 Rainbow Dr,Gadsden,AL,35901-5504,Private,18 Holes,(256) 546-2011,-86.012825,33.975807
River Trace Golf Club,464 Nowlin St,Gadsden,AL,35903-1055,Public,18 Holes,(256) 546-8821,-85.986479,34.01053
Castle Pines Country Club,1600 Quail Ridge Dr,Gardendale,AL,35071-2873,Public,18 Holes,(205) 631-3140,-86.781718,33.660967
River Oaks Golf Course,203 River Oaks Rd,Geneva,AL,36340,Public,9 Holes,(334) 684-6190,-85.862528,31.028007
Briarmeade Golf Course,505 Ralph Ave,Glencoe,AL,35905-1014,Private,18 Holes,(256) 492-1150,-85.946376,33.96101
The Robert Trent Jones Golf Trail At Silver Lake,1 Sunbelt Pkwy,Glencoe,AL,35905-8840,Public,54 Holes,(256) 892-3268,-85.927814,33.884072
The Robert Trent Jones Golf Trail Par 3 At Silver Lake,1 Sunbelt Pkwy,Glencoe,AL,35905-8840,Public,9 Holes,(256) 892-3268,-85.927814,33.884072
Hatchett Creek Golf Course,Mount Olive Road,Goodwater,AL,35072,Public,9 Holes,(256) 839-5612,-86.099665,33.056103
Mountain View Golf Course,3200 Mountain View Dr,Graysville,AL,35073-9691,Public,45 Holes,(205) 674-8362,-86.940498,33.633344
Lakeview Country Club,Millwood Road,Greensboro,AL,36744,Public,9 Holes,(334) 624-8654,-87.634199,32.693137
Greenville Country Club,902 Fort Dale Rd,Greenville,AL,36037-3611,Private,9 Holes,(334) 382-8312,-86.639508,31.846232
The Robert Trent Jones Golf Trail At Cambrian Ridg,101 Sunbelt Pkwy,Greenville,AL,36037-7935,Public,63 Holes,(334) 382-9787,-86.686282,31.896111
Pikeville Country Club,1310 Country Club Rd,Guin,AL,35563-3114,Private,18 Holes,(205) 921-9577,-87.905842,33.971968
Gulf State Park Golf Course,20115 State Highway 135,Gulf Shores,AL,20115,Municipal,18 Holes,(251) 948-4653,-87.678015,30.265806
Craft Farms Golf Resort,3840 Cotton Creek Blvd,Gulf Shores,AL,36542-2729,Public,36 Holes,(251) 968-7500,-87.669298,30.304795
Kiva Dunes,815 Plantation Rd,Gulf Shores,AL,36542-8286,Public,18 Holes,(251) 540-7000,-87.888474,30.235553
Peninsula Golf & Racquet Club,20 Peninsula Blvd,Gulf Shores,AL,36542-8280,Public,54 Holes,(251) 968-8009,-87.773899,30.251587
The Golf Club of the Wharf,520 Clubhouse Dr,Gulf Shores,AL,36542-3490,Public,18 Holes,(251) 968-4501,-87.701114,30.270101
Lake Guntersville State Park Golf Course,7966 Al Highway 227,Guntersville,AL,35976-8280,Municipal,18 Holes,(256) 571-5458,-86.217249,34.369603
Gunter's Landing,1000 Gunters Landing Rd,Guntersville,AL,35976-8627,Public,18 Holes,(256) 582-3000,-86.255397,34.394562
Stoney Mountain Golf Course,5200 Georgia Mountain Rd,Guntersville,AL,35976-7229,Public,18 Holes,(256) 582-2598,-86.388367,34.374594
Haleyville Country Club,1331 Airport Road,Haleyville,AL,35565,Private,18 Holes,(205) 486-3906,-87.604364,34.277349
Cullman Municipal Golf Club,2321 County Road 490,Hanceville,AL,35077-8125,Municipal,18 Holes,(256) 739-2386,-86.831362,34.110408
Quail Creek Golf Course & Conference Center,233 Quail Creek Dr,Hartselle,AL,35640-6952,Public,18 Holes,(256) 784-5033,-86.863833,34.390421
Harvest Hills,791 Harvest Rd,Harvest,AL,35749-8625,Public,18 Holes,(256) 890-0705,-86.740041,34.859823
Plantation Golf Club,11900 State Highway 160,Hayden,AL,11900,Public,27 Holes,(205) 559-8200,-86.668003,33.949571
Headland Country Club,4175 State Highway 134 E,Headland,AL,36345-6403,Public,9 Holes,(334) 693-2324,-85.260701,31.351977
Silver Ridge Golf Club,195 Golf Club Dr,Horton,AL,35980-8796,Public,18 Holes,(256) 593-4055,-86.372523,34.16761
Huntsville Municipal Golf Course,2151 Airport Rd SW,Huntsville,AL,35801-5364,Municipal,18 Holes,(256) 880-1151,-86.584758,34.688979
Huntsville Country Club,2601 Oakwood Ave NW,Huntsville,AL,35810-4309,Private,18 Holes,(256) 859-3110,-86.612913,34.749339
Valley Hill Country Club,8300 Valley Hill Dr SE,Huntsville,AL,35802-3228,Private,27 Holes,(256) 883-7620,-86.543117,34.657309
Redstone Golf Course,4140 Goss Road,Huntsville,AL,35898-0001,Semi Private,45 Holes,(256) 883-7977,-86.668185,34.698434
The Ledges Country Club,32 Castle Down Dr,Huntsville,AL,35802-1295,Semi Private,18 Holes,(256) 883-4191,-86.518341,34.671148
Monrovia Golf Course,7130B Highway 72 W,Huntsville,AL,35806,Public,18 Holes,(256) 837-9469,-86.714329,34.75548
Sunset Landing Golf Course,346 James Record Rd SW,Huntsville,AL,35824-1514,Public,18 Holes,(256) 464-5050,-86.773548,34.658224
Silver King Golf Club,7960 Edgar Roberts Rd,Irvington,AL,36544-4144,Public,18 Holes,(251) 824-9660,-88.228975,30.44651
Jackson Links Golf Course,Pierce Memorial Park,Jackson,AL,36545,Public,9 Holes,(251) 246-9993,-87.891251,31.507903
Lake Winds Golf Course,95 County Road 40,Jacksons Gap,AL,36861-3142,Municipal,18 Holes,(256) 825-9860,-85.873055,32.885532
Stoney Brook Golf Course,1505 Country Club Dr SW,Jacksonville,AL,36265-3367,Public,18 Holes,(256) 435-3114,-85.773421,33.784875
Musgrove Country Club,916 Country Club Rd,Jasper,AL,35503-6006,Semi Private,18 Holes,(205) 221-7900,-87.287201,33.905893
Curry Golf Course,100 Boardwalk Ln,Jasper,AL,35503-5677,Public,9 Holes,(205) 221-5678,-87.211115,33.958805
Bear Branch Golf Club,3947 Holly Grove Rd,Jasper,AL,35501-7412,Public,9 Holes,(205) 522-9237,-87.327934,33.835633
Turtle Point Yacht & Country Club,1000 Country Club Dr,Killen,AL,35645,Private,18 Holes,(256) 757-2155,-87.545134,34.843621
Riverside Country Club,2001 Cherry Drive,Lanett,AL,36863,Public,9 Holes,(334) 644-4503,-85.215039,32.87264
Linden Country Club,Highway 28 East,Linden,AL,36748,Private,18 Holes,(334) 295-8678,-87.767996,32.294162
Livingston Country Club,Country Club Road,Livingston,AL,35470,Private,9 Holes,(205) 652-9931,-88.201233,32.600854
Steelwood Country Club,31925 Steelwood Ridge Rd,Loxley,AL,31925,Private,18 Holes,(251) 964-4800,-87.722198,30.698332
Crenshaw County Rec Club,265 Mount Ida Highway,Luverne,AL,36049,Private,9 Holes,(334) 335-5404,-86.267266,31.702645
Marion Military Institute Golf Course,1101 Washington St,Marion,AL,36756-3213,Public,9 Holes,(334) 683-2178,-87.318588,32.624491
Cypress Tree Golf Courses,1461 March Street,Montgomery,AL,36112,Semi Private,36 Holes,(334) 263-7587,-86.360922,32.390946
Lakeview Country Club,21026 Agnes Dr,McCalla,AL,21026,Public,9 Holes,(205) 477-6125,-87.144449,33.281056
Cloudmont Ski & Golf Resort,721 County Road 614,Mentone,AL,35984-2434,Public,9 Holes,(256) 634-4344,-85.603204,34.537302
Colonial Golf Course,400 Colonial Dr,Meridianville,AL,35759-1008,Public,18 Holes,(256) 828-0431,-86.597048,34.873146
Fox Run Golf Course,870 McCollum Rd,Meridianville,AL,35759-1716,Public,18 Holes,(256) 828-7564,-86.537211,34.87911
The Pines Golf Club,307 Deatsville Hwy,Millbrook,AL,36054-1634,Municipal,18 Holes,(334) 285-7529,-86.375389,32.521738
Azalea City Golf Course,1000 Gaillard Dr,Mobile,AL,36608-2512,Municipal,18 Holes,(251) 342-4221,-88.162398,30.710567
Gulf Pines Golf Club,167 Old Bay Front Dr,Mobile,AL,36615-1304,Municipal,18 Holes,(251) 431-6413,-88.061674,30.640932
Magnolia Grove Golf Club,7001 Magnolia Grove Pkwy,Mobile,AL,36618-4824,Municipal,54 Holes,(251) 645-0075,-88.21261,30.737516
Country Club of Mobile,4101 Wimbledon Dr W,Mobile,AL,36608-2361,Private,27 Holes,(251) 342-5138,-88.15335,30.68628
Heron Lakes Country Club,3851 Government Blvd,Mobile,AL,36693-4314,Private,18 Holes,(251) 666-7070,-88.133828,30.642802
Spring Hill College Golf Course,4000 Dauphin St,Mobile,AL,36608-1780,Public,18 Holes,(251) 380-4655,-88.146485,30.685821
Vanity Fair Golf & Tennis Club,613 Golf Dr,Monroeville,AL,36460-2287,Private,18 Holes,(251) 575-4700,-87.340089,31.519735
Montevallo Golf Club,1481 Shelby County Highway 204,Montevallo,AL,35115,Municipal,18 Holes,(205) 665-8057,-86.873531,33.102673
Gateway Park Executive Golf Course,3800 Davenport Pkwy,Montgomery,AL,36105,Municipal,18 Holes,(334) 284-7920,-86.326554,32.335042
Lagoon Park Golf Course,2855 Lagoon Park Dr,Montgomery,AL,36109-1112,Municipal,18 Holes,(334) 271-7000,-86.221294,32.400294
Arrowhead Golf & Country Club,50 Ocala Dr,Montgomery,AL,36117-4139,Private,18 Holes,(334) 272-7180,-86.144678,32.378926
Bonnie Crest Country Club,1410 Federal Dr,Montgomery,AL,36107-1124,Semi Private,18 Holes,(334) 272-9316,-86.272271,32.398724
Montgomery Country Club,3001 Narrow Lane Rd,Montgomery,AL,36106-2216,Semi Private,18 Holes,(334) 264-7198,-86.282368,32.351498
Wynlakes Golf & Country Club,7900 Wynlakes Blvd,Montgomery,AL,36117-5165,Semi Private,18 Holes,(334) 279-0297,-86.149479,32.349475
Cottonwood Golf Club,7160 Byron Nelson Blvd,Montgomery,AL,36116-6046,Public,18 Holes,(334) 281-3344,-86.174376,32.247291
Magnolia Golf Club,3346 Elsberry Rd,Montgomery,AL,36116-3018,Public,18 Holes,(334) 288-3310,-86.270866,32.318126
Tallapoosa Lakes Golf Course,1501 Dozier Rd,Montgomery,AL,36117-6422,Public,36 Holes,(334) 260-4900,-86.135717,32.419455
