X,Y,objectid,name,address,address2,city,zip,island,type,numholes,phone,website,notes
832520.3348,2214100.4313,12,Mauna Kea Resort Golf Course,62-100 Kauna'oa Drive,,Waimea,96743,Hawaii,Res,18,808 882-5400,https://www.maunakearesort.com/golf/mauna-kea-golf-course,
828361.1927,2208297.6306,13,Mauna Lani Resort,68-1400 Mauna Lani Dr.,,Waimea,96743,Hawaii,Res,36,808-885-6655,https://aubergeresorts.com/maunalani/experiences/golf,
815144.9292,2195195.9878,14,Nanea Golf Club,72-2921 Kaupulehu Dr.,,Kailua-Kona,96740,Hawaii,Priv,18,808-930-1300,https://www.top100golfcourses.com/golf-course/nanea,
890980.1388,2153271.8553,15,Volcano Golf Course,99-1621 Piimauna Dr,,Volcano,96785,Hawaii,Pub,18,808 319-4745,https://www.volcanogc.com/,
827259.3465,2205774.6455,16,Waikoloa Beach Resort-Beach Nine,69-600 Waikoloa Beach Drive,,Waikoloa,96738,Hawaii,Res,9,808-886-7888,https://www.waikoloabeachgolf.com/,
827259.3465,2205774.6455,17,Waikoloa Beach Resort-Kings Nine,69-600 Waikoloa Beach Drive,,Waikoloa,96738,Hawaii,Res,9,808-886-7888,https://www.waikoloabeachgolf.com/,
827259.3465,2205774.6455,18,Waikoloa Beach Resort-Lakes Nine,69-600 Waikoloa Beach Drive,,Waikoloa,96738,Hawaii,Res,9,808 886-7888,https://www.waikoloabeachgolf.com/,
835728.3189,2207031.7259,19,Waikoloa Village Golf Club,68-1798 Melia St,,Waikoloa,96738,Hawaii,Res,18,808-883-9621,https://www.thevillagecourse.com/,
450181.8323,2420042.1071,20,The Club at Kukui'ula,2700 Ke Alaula St.,,Koloa,96756,Kauai,Priv,18,808-742-8000,https://kukuiula.com/destination/golf/,
452608.406,2419893.774,21,Kiahuna Golf Club,2545 Kiahuna Plantation Dr.,,Poipu,96756,Kauai,Res,18,808-742-9595,https://www.kiahunagolf.com/,
445829.7194,2423067.7781,22,Kukuiolono Park & Golf Course,854 Puu Rd.,,Kalaheo,96741,Kauai,Pub,9,808-332-9151,https://kukuiolonogolf.com/,
464218.2528,2428711.9131,23,Ocean Course Hokuala,3351 Ho'Olaulea Way,,Lihue,96766,Kauai,Res,18,808-241-6000,https://www.hokualakauai.com/experiences/golf/,
454946.5276,2419324.5668,24,Poipu Bay Golf Course,2250 Ainako St.,,Koloa,96756,Kauai,Res,18,808-742-8711,https://www.poipubaygolf.com/,
450176.0928,2457331.0385,25,Princeville Makai Golf Club,4080 Lei O Papa Rd,,Princeville,96722,Kauai,Res,27,808-826-1912,https://www.makaigolf.com/,
461274.0851,2429053.8995,26,Puakea Golf Course,4150 Nuhou St.,,Lihue,96766,Kauai,Pub,18,808-977-3777,https://www.puakeagolf.com/,
464844.4268,2435421.179,27,Wailua Golf Course,3-5350 Kuhio Highway,,Lihue,96766,Kauai,Muni,18,808-241-6666,https://www.kauai.gov/Government/Departments-Agencies/Parks/Golf,
716532.4285,2304931.0981,28,Cavendish Golf Course,1 Keomoku Rd.,,Lanai City,96763,Lanai,Pub,9,808-565-7300,http://www.hawaiiforvisitors.com/islands/lanai-island/attractions/by-name/cavendish-golf-course.htm,Cavendish Golf Course Access Rd.
718200.617,2294963.8879,29,Manele Golf Course,1 Challenge Dr.,,Lanai City,96763,Lanai,Res,18,808-565-2000,https://www.fourseasons.com/lanai/experiences/,
762600.4973,2308970.4533,30,The Dunes at Maui Lani,1333 Maui Lani Parkway,,Kahului,96732,Hawaii,Pub,18,808-873-0422,https://dunesatmauilani.com/,
740155.5934,2314825.3374,31,Ka'anapali Golf Resort - Ka'anapali Kai,2290 Kaanapali Parkway,,Lahaina,96761,Hawaii,Res,18,808-454-4653,https://www.kaanapaligolfcourses.com/the-kaanapali-kai-course,
740155.5934,2314825.3374,32,Ka'anapali Golf Resort - Royal Ka'anapali,2290 Kaanapali Parkway,,Lahaina,96761,Hawaii,Res,18,808-454-4653,https://www.kaanapaligolfcourses.com/the-royal-kaanapali-course,
743892.6844,2323682.8733,33,Kapalua Resort - The Bay Course,2000 Village Road,,Lahaina,96761,Hawaii,Res,18,808-669-8044,https://golfatkapalua.com/bay-course/,
745299.9965,2324753.9481,34,Kapalua Resort - The Plantation Course,2000 Plantation Club Dr.,,Lahaina,96761,Hawaii,Res,18,808-454-4653,https://golfatkapalua.com/plantation-course/,
759504.9888,2305463.1532,35,The King Kamehameha Golf Club,2500 Honoapiilani Hwy.,,Wailuku,96793,Hawaii,Priv,18,808-249-0033,https://www.kamehamehagolf.com/,
766657.9225,2284581.5051,36,Makena Golf & Beach Club,5415 Makena Alanui,,Makena,96753,Hawaii,Priv,18,808-879-3344,https://makenagolfandbeachclub.com/experiences/golf,
770216.0078,2314518.4631,37,Maui Country Club,48 Nonohe Place,,Paia,96779,Hawaii,Priv,9,808-877-7893,https://mauicountryclub.org/,
766090.4237,2296374.9824,38,Maui Nui Golf Club,470 Lipoa Parkway,,Kihei,96753,Hawaii,Pub,18,808-874-0777,https://mauinuigolfclub.com/golf/,
776135.3816,2305739.9453,39,Pukalani Country Club,360 Pukalani Street,,Pukalani,96768,Hawaii,Pub,18,808-572-1314,https://www.pukalanigolf.com/,
760153.0873,2316222.0399,40,Waiehu Golf Municipal Course,200 Halewaiu Rd,,Wailuku,96793,Hawaii,Muni,18,808-244-7400,https://www.mauicounty.gov/Facilities/Facility/Details/157,
766975.0331,2288282.921,41,Wailea Golf Club - Blue Course,120 Kaukahi Street,,Wailea,96753,Hawaii,Res,18,808-879-2530,https://waileagolf.com/Golf/Wailea-Blue,
767135.3204,2287290.7219,42,Wailea Golf Club - Emerald Course,100 Wailea Golf Club Drive,,Wailea,96753,Hawaii,Res,18,808-875-7450,https://waileagolf.com/Golf/Wailea-Emerald,
767135.3204,2287290.7219,43,Wailea Golf Club-Gold Course,100 Wailea Golf Club Drive,,Wailea,96753,Hawaii,Res,18,808-875-7450,https://waileagolf.com/Golf/Wailea-Gold,
705228.6649,2340900.7327,44,Ironwood Hills Golf Club,Kalae Hwy,,Kualapuu,96757,Molokai,Pub,9,808-567-6000,https://www.gohawaii.com/islands/molokai/things-to-do/land-activities/Golf,
622513.0229,2353332.3891,45,Ala Wai Golf Course,404 Kapahulu Avenue,,Honolulu,96815,Oahu,Muni,18,808-733-7387,https://www8.honolulu.gov/des/ala-wai-golf-course/,
599053.6482,2359146.5432,46,Barbers Point Golf Course,92-2219 Roosevelt Ave,Bldg. 2249,Kapolei,96707,Oahu,Mil,18,808-682-1911,https://www.greatlifehawaii.com/programs/d31d69fd-76fe-49e0-ae8d-991bce9bc9c6,
600453.5487,2358915.7738,47,Coral Creek Golf Course,91-1111 Geiger Rd ,,Ewa Beach,96706,Oahu,Pub,18,808-441-4653,https://www.ccgchawaii.com/,
604526.1794,2357446.2913,48,Ewa Beach Golf Club,91-050 Fort Weaver Road,,Ewa Beach,96706,Oahu,Pub,18,808-689-6565,http://ewabeachgc.com/,
599476.0745,2360494.3572,49,Ewa Villages Golf Course,91-1760 Park Row,,Ewa Beach,96706,Oahu,Muni,18,808-681-0220,https://www8.honolulu.gov/des/ewa-villages-golf-course/,
597631.9472,2370526.5938,50,Hawaii Country Club,94-1211 Kunia Rd,,Waipahu,96797,Oahu,Pub,18,808-621-5654,https://www.hawaiicountryclubgolf.com/,
638437.1814,2355826.8313,51,Hawaii Kai Golf Course - Championship Course,8902 Kalaniana’ole Highway,,Honolulu,96825,Oahu,Pub,18,808-395-2358,https://www.hawaiikaigolf.com/,
638437.1814,2355826.8313,52,Hawaii Kai Golf Course - Executive Course,8902 Kalaniana’ole Highway,,Honolulu,96825,Oahu,Pub,18,808-395-2358,https://www.hawaiikaigolf.com/,
601481.5305,2359053.7155,53,Hawaii Prince Golf Club,91-1200 Fort Weaver Road,,Ewa Beach,96706,Oahu,Res,27,808-944-4567,https://www.hawaiiprincegolf.com/,
599562.4862,2357035.4048,54,Hoakalei Country Club,"91-1620 Keoneula Blvd, ",,Ewa Beach,96706,Oahu,Priv,18,808-388-4049,https://www.hoakaleicountryclub.com/,
613347.89,2361674.2804,55,Honolulu Country Club,1690 Ala Pu’umalu Street,,Honolulu,96818,Oahu,Priv,18,808-441-9400,https://www.honolulucountryclub.com/golf/,
609350.4688,2397075.8901,56,Kahuku Golf Course,56-501 Kamehameha Highway,,Kahuku,96731,Oahu,Muni,9,808-293-5842,https://www8.honolulu.gov/des/kahuku-golf-course/,
629606.4711,2372380.1306,57,Kaneohe Klipper Golf Course,1 MCBH Kaneohe Bay,Bldg. 3088,Kailua,96734,Oahu,Mil,18,808-254-2107,https://hawaii.usmc-mccs.org/recreation-fitness/golf,
597219.4114,2360264.0231,58,Kapolei Golf Club,91-701 Farrington Highway,,Kapolei,96707,Oahu,Pub,18,808-447-0202,https://kapoleigolf.com/,
609709.7563,2359716.9866,59,Ke'alohi Golf Course - Par 3,185 McClelland Street,,Hickam AFB,96853,Oahu,Mil,9,808-449-2318,https://www.greatlifehawaii.com/programs/72085411-22a6-474b-859d-3948bc7f7c4f,
591371.6471,2359973.2202,60,Ko Olina Golf Club,92-1220 Aliinui Dr,,Kapolei,96707,Oahu,Res,18,808-676-5300,http://www.koolinagolf.com/,
601270.7992,2375636.5554,61,Leilehua Golf Course,"199 Leilehua Road
",Bldg. 6505,Wahiawa,96786,Oahu,Mil,18,808-655-4653,https://hawaii.armymwr.com/programs/leilehua-golf-course,
582973.8259,2374591.7392,62,Makaha Valley Country Club,84-627 Makaha Valley Rd,,Makaha,96792,Oahu,Pub,18,855-688-1818,https://www.makahavalleycc.com/,
610050.6382,2357795.9358,63,Mamala Bay Course,625 Mamala Drive,Bldg. 3571,Hickam AFB,96853,Oahu,Mil,18,808-449-2300,https://www.greatlifehawaii.com/programs/9e969ce8-a173-425b-8af6-22bfb36903b1,
632211.5403,2365720.3865,64,Mid Pacific Country Club,266 Ka’elepulu Drive,,Kailua,96734,Oahu,Priv,18,808-261-9765,https://www.mpcchi.org/,
601167.1088,2372647.12,65,Mililani Golf Club,95-176 Kuahelani Ave.,,Mililani,96789,Oahu,Pub,18,808-623-2222,https://www.mililanigolf.com/,
614385.5732,2362954.664,66,Moanalua Golf Club,"1250 Ala Aolani St,",,Honolulu,96819,Oahu,Sem-Priv,9,808-839-2311,https://moanaluagolfclub.com/,
611154.8945,2360590.904,67,Navy Marine Golf Course,943 Valkenburgh St,,Honolulu,96818,Oahu,Mil,18,808-471-0142,https://www.greatlifehawaii.com/programs/5aa2cebc-0578-44eb-a5aa-f2d47f79a7be,
620203.0719,2360219.1609,68,Oahu Country Club,150 Country Club Road,,Honolulu,96817,Oahu,Priv,18,808-595-3256,https://oahucountryclub.com/golf,
632003.0435,2362160.0777,69,Olomana Golf Club,41-1801 Kalaniana'ole Hwy ,,Waimanalo,96795,Oahu,Pub,18,880-259-7926,https://olomanalinks.com/,
626161.6548,2364353.2416,70,Pali Golf Course,45-050 Kamehameha Highway,,Kaneohe,96744,Oahu,Muni,18,808-266-7612,https://www8.honolulu.gov/des/pali-golf-course/,
610503.5029,2365801.6906,71,Pearl Country Club,98-535 Kaonohi Street,,Aiea,96701,Oahu,Pub,18,808-487-3802,https://pearlcc.com/,
629020.4207,2362090.8229,72,Royal Hawaiian Golf Club,770 Auloa Road,,Kailua,96734,Oahu,Pub,18,808-262-2139,http://royalhawaiiangc.com/,
601219.3063,2367409.4873,73,Royal Kunia Country Club,94-1509 Anonui Street,,Waipahu,96797,Oahu,Pub,18,808-688-9222,https://www.royalkuniacc.com/,
604534.7973,2364406.3967,74,Ted Makalena Golf Course,93-059 Waipio Point Access Road,,Waipahu,96797,Oahu,Muni,18,880-675-6052,https://www8.honolulu.gov/des/ted-makalena-golf-course/,
604247.055,2399701.1666,75,Turtle Bay - Arnold Palmer Course,57-091 Kamehameha Highway,,Kahuku,96731,Oahu,Res,18,808-293-8574,https://www.turtlebayresort.com/things-to-do/golf/courses/arnold-palmer-course,
604247.055,2399701.1666,76,Turtle Bay-Fazio Course,57-091 Kamehameha Highway,,Kahuku,96731,Oahu,Res,18,808-293-8574,https://www.turtlebayresort.com/things-to-do/golf/courses/george-fazio-course,Temporarily Closed (8/9/23)
626960.1791,2352725.2567,77,Waialae Country Club,4997 Kahala Ave. ,,Honolulu,96816,Oahu,Priv,18,808-732-1457,https://www.waialaecc.com/,
603599.3582,2367506.4937,78,Waikele Country Club,94-200 Paioa Place ,,Waipahu,96797,Oahu,Pub,18,808-676-9000,https://www.golfwaikele.com/index.php?language=en,
615563.4692,2361042.207,79,Walter Nagorski Golf Course,"711 Morton Drive
",Bldg. 711,Fort Shafter,96858,Oahu,Mil,9,808-438-9587,https://hawaii.armymwr.com/programs/nagorski-golf-course,
600849.2432,2363240.897,80,West Loch Golf Course,91-1126 Okupe St,,Ewa Beach,96706,Oahu,Muni,18,808-671-2292,https://www8.honolulu.gov/des/west-loch-golf-course/,
