Always equal to ACS Summary File identification,State Postal Abbreviation,Summary Level,Geographic Component,State (FIPS Code),County of current residence,Census Tract,Block Group,Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Qualified Area Name,Median Value,Median Household Income (In 2022 Inflation Adjusted Dollars),Total Population,Housing Units,Area Total:,Area Total: Area (Land),Area Total: Area (Water),Median Gross Rent,Occupied Housing Units,Occupied Housing Units: Built 2020 or Later,Occupied Housing Units: Built 2010 to 2019,Occupied Housing Units: Built 2000 to 2009,Occupied Housing Units: Built 1990 to 1999,Occupied Housing Units: Built 1980 to 1989,Occupied Housing Units: Built 1970 to 1979,Occupied Housing Units: Built 1960 to 1969,Occupied Housing Units: Built 1950 to 1959,Occupied Housing Units: Built 1940 to 1949,Occupied Housing Units: Built 1939 or Earlier,Median Year Structure Built,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Vacant Housing Units:,Vacant Housing Units: For Rent,Vacant Housing Units: For Sale Only,Vacant Housing Units: Other Vacant
ACSSF,HI,150,0,15,3,114,1,1500000US150030001141,"Block Group 1, Census Tract 1.14, Honolulu County, Hawaii",,,1.50E+11,398940,0,15,"Block Group 1, Census Tract 1.14, Honolulu County, Hawaii",2000001,,550,214,0.154031605,0.154031605,0,99,214,0,23,6,0,0,11,110,48,6,10,1964,214,188,26,0,0,0,0
ACSSF,HI,150,0,15,3,114,2,1500000US150030001142,"Block Group 2, Census Tract 1.14, Honolulu County, Hawaii",,,1.50E+11,827073,705184,15,"Block Group 2, Census Tract 1.14, Honolulu County, Hawaii",2000001,217426,925,411,0.591607749,0.319334686,0.272273064,3501,323,0,3,8,13,5,170,100,8,12,4,1972,323,255,68,88,7,0,81
ACSSF,HI,150,0,15,3,115,1,1500000US150030001151,"Block Group 1, Census Tract 1.15, Honolulu County, Hawaii",,,1.50E+11,2736463,0,15,"Block Group 1, Census Tract 1.15, Honolulu County, Hawaii",826300,102168,1339,816,1.056554317,1.056554317,0,3501,621,0,0,74,152,48,268,79,0,0,0,1988,621,355,266,195,83,0,112
ACSSF,HI,150,0,15,3,115,2,1500000US150030001152,"Block Group 2, Census Tract 1.15, Honolulu County, Hawaii",,,1.50E+11,224402,0,15,"Block Group 2, Census Tract 1.15, Honolulu County, Hawaii",1046900,130375,536,197,0.086642101,0.086642101,0,,197,0,0,0,0,23,0,163,11,0,0,1965,197,197,0,0,0,0,0
ACSSF,HI,150,0,15,3,115,3,1500000US150030001153,"Block Group 3, Census Tract 1.15, Honolulu County, Hawaii",,,1.50E+11,121060,0,15,"Block Group 3, Census Tract 1.15, Honolulu County, Hawaii",646600,211950,375,125,0.04674153,0.04674153,0,,125,0,0,0,0,32,49,44,0,0,0,1974,125,125,0,0,0,0,0
ACSSF,HI,150,0,15,3,116,1,1500000US150030001161,"Block Group 1, Census Tract 1.16, Honolulu County, Hawaii",,,1.50E+11,1207840,0,15,"Block Group 1, Census Tract 1.16, Honolulu County, Hawaii",665300,99464,2405,1161,0.466349661,0.466349661,0,2602,1133,0,6,12,21,94,978,22,0,0,0,1976,1133,840,293,28,15,0,13
ACSSF,HI,150,0,15,3,117,1,1500000US150030001171,"Block Group 1, Census Tract 1.17, Honolulu County, Hawaii",,,1.50E+11,868691,0,15,"Block Group 1, Census Tract 1.17, Honolulu County, Hawaii",947000,118833,1544,722,0.335403472,0.335403472,0,2641,516,0,126,249,19,34,84,0,4,0,0,2006,516,360,156,206,99,0,107
ACSSF,HI,150,0,15,3,118,1,1500000US150030001181,"Block Group 1, Census Tract 1.18, Honolulu County, Hawaii",,,1.50E+11,2742007,0,15,"Block Group 1, Census Tract 1.18, Honolulu County, Hawaii",906300,170000,1875,666,1.058694839,1.058694839,0,2417,666,0,13,135,282,118,113,5,0,0,0,1993,666,607,59,0,0,0,0
ACSSF,HI,150,0,15,3,119,1,1500000US150030001191,"Block Group 1, Census Tract 1.19, Honolulu County, Hawaii",,,1.50E+11,252880,0,15,"Block Group 1, Census Tract 1.19, Honolulu County, Hawaii",922200,166667,1013,320,0.097637519,0.097637519,0,,320,0,3,0,0,6,199,112,0,0,0,1972,320,293,27,0,0,0,0
ACSSF,HI,150,0,15,3,119,2,1500000US150030001192,"Block Group 2, Census Tract 1.19, Honolulu County, Hawaii",,,1.50E+11,193694,0,15,"Block Group 2, Census Tract 1.19, Honolulu County, Hawaii",1068500,187636,1190,346,0.074785672,0.074785672,0,,346,0,0,0,110,17,66,153,0,0,0,1973,346,326,20,0,0,0,0
ACSSF,HI,150,0,15,3,119,3,1500000US150030001193,"Block Group 3, Census Tract 1.19, Honolulu County, Hawaii",,,1.50E+11,207323,78646,15,"Block Group 3, Census Tract 1.19, Honolulu County, Hawaii",1135400,200457,489,165,0.110413253,0.080047861,0.030365393,,165,0,0,6,0,24,95,26,14,0,0,1974,165,152,13,0,0,0,0
ACSSF,HI,150,0,15,3,120,1,1500000US150030001201,"Block Group 1, Census Tract 1.20, Honolulu County, Hawaii",,,1.50E+11,196818,0,15,"Block Group 1, Census Tract 1.20, Honolulu County, Hawaii",1117600,163571,739,278,0.075991862,0.075991862,0,3277,278,0,0,0,0,31,193,54,0,0,0,1974,278,192,86,0,0,0,0
ACSSF,HI,150,0,15,3,120,2,1500000US150030001202,"Block Group 2, Census Tract 1.20, Honolulu County, Hawaii",,,1.50E+11,549870,0,15,"Block Group 2, Census Tract 1.20, Honolulu County, Hawaii",1787800,189583,683,209,0.212306008,0.212306008,0,,173,0,0,9,81,83,0,0,0,0,0,1993,173,169,4,36,0,0,36
ACSSF,HI,150,0,15,3,120,3,1500000US150030001203,"Block Group 3, Census Tract 1.20, Honolulu County, Hawaii",,,1.50E+11,1473494,0,15,"Block Group 3, Census Tract 1.20, Honolulu County, Hawaii",1093800,148646,939,377,0.568919241,0.568919241,0,3375,339,0,0,3,62,81,148,43,2,0,0,1978,339,311,28,38,0,0,38
ACSSF,HI,150,0,15,3,121,1,1500000US150030001211,"Block Group 1, Census Tract 1.21, Honolulu County, Hawaii",,,1.50E+11,208980,47872,15,"Block Group 1, Census Tract 1.21, Honolulu County, Hawaii",854500,148571,1788,821,0.099171117,0.080687635,0.018483484,3501,720,0,16,348,35,0,267,54,0,0,0,2001,720,581,139,101,0,0,101
ACSSF,HI,150,0,15,3,121,2,1500000US150030001212,"Block Group 2, Census Tract 1.21, Honolulu County, Hawaii",,,1.50E+11,269891,286472,15,"Block Group 2, Census Tract 1.21, Honolulu County, Hawaii",1281800,146065,600,255,0.214812964,0.104205504,0.11060746,,255,0,19,7,0,0,21,194,14,0,0,1966,255,239,16,0,0,0,0
ACSSF,HI,150,0,15,3,122,1,1500000US150030001221,"Block Group 1, Census Tract 1.22, Honolulu County, Hawaii",,,1.50E+11,293192,0,15,"Block Group 1, Census Tract 1.22, Honolulu County, Hawaii",1129500,202102,1157,403,0.113202065,0.113202065,0,,387,0,0,0,0,0,48,317,0,22,0,1965,387,372,15,16,16,0,0
ACSSF,HI,150,0,15,3,122,2,1500000US150030001222,"Block Group 2, Census Tract 1.22, Honolulu County, Hawaii",,,1.50E+11,221367,0,15,"Block Group 2, Census Tract 1.22, Honolulu County, Hawaii",1018600,120729,934,269,0.085470282,0.085470282,0,,269,0,0,0,0,12,22,202,33,0,0,1965,269,224,45,0,0,0,0
ACSSF,HI,150,0,15,3,122,3,1500000US150030001223,"Block Group 3, Census Tract 1.22, Honolulu County, Hawaii",,,1.50E+11,666519,0,15,"Block Group 3, Census Tract 1.22, Honolulu County, Hawaii",1049000,131700,988,330,0.257344425,0.257344425,0,,330,0,0,0,0,0,133,161,36,0,0,1968,330,330,0,0,0,0,0
ACSSF,HI,150,0,15,3,200,1,1500000US150030002001,"Block Group 1, Census Tract 2, Honolulu County, Hawaii",,,1.50E+11,381393,666763,15,"Block Group 1, Census Tract 2, Honolulu County, Hawaii",1192900,208636,659,355,0.404695302,0.147256672,0.25743863,1473,240,0,10,0,11,42,40,48,34,55,0,1971,240,174,66,115,0,28,87
ACSSF,HI,150,0,15,3,200,2,1500000US150030002002,"Block Group 2, Census Tract 2, Honolulu County, Hawaii",,,1.50E+11,3642939,0,15,"Block Group 2, Census Tract 2, Honolulu County, Hawaii",1315200,180729,1017,280,1.406546712,1.406546712,0,,251,0,52,12,26,44,26,62,29,0,0,1983,251,214,37,29,0,0,29
ACSSF,HI,150,0,15,3,200,3,1500000US150030002003,"Block Group 3, Census Tract 2, Honolulu County, Hawaii",,,1.50E+11,694045,0,15,"Block Group 3, Census Tract 2, Honolulu County, Hawaii",1202600,157734,1687,543,0.267972291,0.267972291,0,,497,0,11,19,10,1,38,263,155,0,0,1963,497,485,12,46,0,0,46
ACSSF,HI,150,0,15,3,200,4,1500000US150030002004,"Block Group 4, Census Tract 2, Honolulu County, Hawaii",,,1.50E+11,3384150,0,15,"Block Group 4, Census Tract 2, Honolulu County, Hawaii",1041700,157865,713,341,1.306627631,1.306627631,0,,279,0,0,38,54,54,41,47,25,11,9,1974,279,269,10,62,0,0,62
ACSSF,HI,150,0,15,3,200,5,1500000US150030002005,"Block Group 5, Census Tract 2, Honolulu County, Hawaii",,,1.50E+11,1715053,0,15,"Block Group 5, Census Tract 2, Honolulu County, Hawaii",983700,131726,1027,355,0.662185669,0.662185669,0,3278,355,0,0,21,0,175,98,36,25,0,0,1981,355,268,87,0,0,0,0
ACSSF,HI,150,0,15,3,200,6,1500000US150030002006,"Block Group 6, Census Tract 2, Honolulu County, Hawaii",,,1.50E+11,222462,0,15,"Block Group 6, Census Tract 2, Honolulu County, Hawaii",1118100,74556,434,200,0.085893065,0.085893065,0,2164,200,9,0,0,10,94,34,22,9,8,14,1981,200,125,75,0,0,0,0
ACSSF,HI,150,0,15,3,301,1,1500000US150030003011,"Block Group 1, Census Tract 3.01, Honolulu County, Hawaii",,,1.50E+11,5481660,0,15,"Block Group 1, Census Tract 3.01, Honolulu County, Hawaii",1138400,183068,1935,697,2.116480827,2.116480827,0,3350,669,0,0,0,4,19,82,190,304,60,10,1958,669,595,74,28,0,0,28
ACSSF,HI,150,0,15,3,301,2,1500000US150030003012,"Block Group 2, Census Tract 3.01, Honolulu County, Hawaii",,,1.50E+11,3087285,0,15,"Block Group 2, Census Tract 3.01, Honolulu County, Hawaii",2000001,188472,1398,734,1.192007422,1.192007422,0,2197,533,0,7,104,172,130,32,29,47,12,0,1990,533,466,67,201,0,46,155
ACSSF,HI,150,0,15,3,302,1,1500000US150030003021,"Block Group 1, Census Tract 3.02, Honolulu County, Hawaii",,,1.50E+11,1003542,0,15,"Block Group 1, Census Tract 3.02, Honolulu County, Hawaii",1118400,147500,1423,555,0.387469739,0.387469739,0,3120,512,0,0,0,12,14,19,93,348,15,11,1957,512,401,111,43,0,10,33
ACSSF,HI,150,0,15,3,302,2,1500000US150030003022,"Block Group 2, Census Tract 3.02, Honolulu County, Hawaii",,,1.50E+11,824965,546862,15,"Block Group 2, Census Tract 3.02, Honolulu County, Hawaii",1518800,162583,1395,461,0.529665411,0.318520784,0.211144611,1875,461,0,30,27,26,8,2,20,210,111,27,1954,461,366,95,0,0,0,0
ACSSF,HI,150,0,15,3,401,1,1500000US150030004011,"Block Group 1, Census Tract 4.01, Honolulu County, Hawaii",,,1.50E+11,536224,0,15,"Block Group 1, Census Tract 4.01, Honolulu County, Hawaii",939500,69167,666,288,0.207037255,0.207037255,0,3501,238,0,7,17,23,8,0,74,109,0,0,1961,238,188,50,50,0,0,50
ACSSF,HI,150,0,15,3,401,2,1500000US150030004012,"Block Group 2, Census Tract 4.01, Honolulu County, Hawaii",,,1.50E+11,5640846,0,15,"Block Group 2, Census Tract 4.01, Honolulu County, Hawaii",1424700,151667,2060,786,2.177942991,2.177942991,0,1667,786,0,9,0,29,40,279,292,130,7,0,1969,786,732,54,0,0,0,0
ACSSF,HI,150,0,15,3,402,1,1500000US150030004021,"Block Group 1, Census Tract 4.02, Honolulu County, Hawaii",,,1.50E+11,307020,0,15,"Block Group 1, Census Tract 4.02, Honolulu County, Hawaii",1734400,250001,829,307,0.118541092,0.118541092,0,,307,0,0,0,9,6,161,122,9,0,0,1971,307,264,43,0,0,0,0
ACSSF,HI,150,0,15,3,402,2,1500000US150030004022,"Block Group 2, Census Tract 4.02, Honolulu County, Hawaii",,,1.50E+11,1513366,0,15,"Block Group 2, Census Tract 4.02, Honolulu County, Hawaii",1820300,167865,2596,827,0.584313929,0.584313929,0,3501,799,0,0,107,169,120,203,181,14,5,0,1981,799,671,128,28,0,0,28
ACSSF,HI,150,0,15,3,402,3,1500000US150030004023,"Block Group 3, Census Tract 4.02, Honolulu County, Hawaii",,,1.50E+11,1186893,0,15,"Block Group 3, Census Tract 4.02, Honolulu County, Hawaii",1223700,183750,487,241,0.458261967,0.458261967,0,,211,0,0,23,2,50,73,45,9,9,0,1976,211,202,9,30,0,30,0
ACSSF,HI,150,0,15,3,500,1,1500000US150030005001,"Block Group 1, Census Tract 5, Honolulu County, Hawaii",,,1.50E+11,483122,74632,15,"Block Group 1, Census Tract 5, Honolulu County, Hawaii",2000001,102778,704,304,0.215350032,0.186534449,0.028815577,,232,0,8,0,38,38,54,8,49,20,17,1972,232,207,25,72,0,0,72
ACSSF,HI,150,0,15,3,500,2,1500000US150030005002,"Block Group 2, Census Tract 5, Honolulu County, Hawaii",,,1.50E+11,298604,0,15,"Block Group 2, Census Tract 5, Honolulu County, Hawaii",2000001,224315,760,279,0.115291655,0.115291655,0,3501,268,0,0,6,4,0,88,70,88,12,0,1966,268,171,97,11,11,0,0
ACSSF,HI,150,0,15,3,500,3,1500000US150030005003,"Block Group 3, Census Tract 5, Honolulu County, Hawaii",,,1.50E+11,545815,330880,15,"Block Group 3, Census Tract 5, Honolulu County, Hawaii",2000001,,613,367,0.338493854,0.210740358,0.127753481,,297,0,11,9,64,10,20,33,113,0,37,1961,297,260,37,70,0,27,43
ACSSF,HI,150,0,15,3,500,4,1500000US150030005004,"Block Group 4, Census Tract 5, Honolulu County, Hawaii",,,1.50E+11,594762,134511,15,"Block Group 4, Census Tract 5, Honolulu County, Hawaii",2000001,170893,708,362,0.281573892,0.229638904,0.051934991,,312,0,10,35,32,80,0,28,116,0,11,1981,312,246,66,50,0,0,50
ACSSF,HI,150,0,15,3,500,5,1500000US150030005005,"Block Group 5, Census Tract 5, Honolulu County, Hawaii",,,1.50E+11,957850,490297,15,"Block Group 5, Census Tract 5, Honolulu County, Hawaii",,115250,721,420,0.559132695,0.369827956,0.189304739,,272,10,0,24,8,10,8,163,18,31,0,1966,272,204,68,148,32,0,116
ACSSF,HI,150,0,15,3,600,1,1500000US150030006001,"Block Group 1, Census Tract 6, Honolulu County, Hawaii",,,1.50E+11,2125987,0,15,"Block Group 1, Census Tract 6, Honolulu County, Hawaii",,,0,23,0.820848227,0.820848227,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,23,0,0,23
ACSSF,HI,150,0,15,3,600,2,1500000US150030006002,"Block Group 2, Census Tract 6, Honolulu County, Hawaii",,,1.50E+11,963864,862832,15,"Block Group 2, Census Tract 6, Honolulu County, Hawaii",2000001,175236,1169,554,0.705291271,0.372149974,0.333141297,,447,0,12,24,10,12,47,76,166,4,96,1959,447,429,18,107,8,23,76
ACSSF,HI,150,0,15,3,700,1,1500000US150030007001,"Block Group 1, Census Tract 7, Honolulu County, Hawaii",,,1.50E+11,383521,0,15,"Block Group 1, Census Tract 7, Honolulu County, Hawaii",1173300,,860,297,0.148078293,0.148078293,0,3501,297,0,0,41,7,0,21,56,172,0,0,1959,297,221,76,0,0,0,0
ACSSF,HI,150,0,15,3,700,2,1500000US150030007002,"Block Group 2, Census Tract 7, Honolulu County, Hawaii",,,1.50E+11,216806,0,15,"Block Group 2, Census Tract 7, Honolulu County, Hawaii",1195100,112159,545,200,0.08370927,0.08370927,0,3060,200,0,12,24,7,0,7,0,93,34,23,1955,200,150,50,0,0,0,0
ACSSF,HI,150,0,15,3,700,3,1500000US150030007003,"Block Group 3, Census Tract 7, Honolulu County, Hawaii",,,1.50E+11,222467,0,15,"Block Group 3, Census Tract 7, Honolulu County, Hawaii",1008500,101250,917,299,0.085894994,0.085894994,0,2355,276,0,26,5,10,125,0,9,44,35,22,1983,276,193,83,23,0,0,23
ACSSF,HI,150,0,15,3,700,4,1500000US150030007004,"Block Group 4, Census Tract 7, Honolulu County, Hawaii",,,1.50E+11,151269,0,15,"Block Group 4, Census Tract 7, Honolulu County, Hawaii",1517900,127708,975,299,0.058405291,0.058405291,0,1750,287,28,8,6,0,61,0,22,140,10,12,1959,287,208,79,12,12,0,0
ACSSF,HI,150,0,15,3,800,1,1500000US150030008001,"Block Group 1, Census Tract 8, Honolulu County, Hawaii",,,1.50E+11,291191,0,15,"Block Group 1, Census Tract 8, Honolulu County, Hawaii",1205200,79500,1425,565,0.112429477,0.112429477,0,1603,524,0,0,35,26,92,19,59,58,128,107,1951,524,269,255,41,0,0,41
ACSSF,HI,150,0,15,3,800,2,1500000US150030008002,"Block Group 2, Census Tract 8, Honolulu County, Hawaii",,,1.50E+11,310691,0,15,"Block Group 2, Census Tract 8, Honolulu County, Hawaii",1180900,127813,1096,431,0.119958468,0.119958468,0,2938,405,0,21,10,6,20,57,48,54,76,113,1950,405,301,104,26,0,0,26
ACSSF,HI,150,0,15,3,800,3,1500000US150030008003,"Block Group 3, Census Tract 8, Honolulu County, Hawaii",,,1.50E+11,516985,0,15,"Block Group 3, Census Tract 8, Honolulu County, Hawaii",1178800,124125,1358,385,0.199609026,0.199609026,0,1424,385,0,15,8,32,102,105,0,50,9,64,1977,385,237,148,0,0,0,0
ACSSF,HI,150,0,15,3,901,1,1500000US150030009011,"Block Group 1, Census Tract 9.01, Honolulu County, Hawaii",,,1.50E+11,662272,0,15,"Block Group 1, Census Tract 9.01, Honolulu County, Hawaii",1158500,117969,933,446,0.255704671,0.255704671,0,2648,373,0,0,0,0,12,72,274,15,0,0,1966,373,267,106,73,0,0,73
ACSSF,HI,150,0,15,3,901,2,1500000US150030009012,"Block Group 2, Census Tract 9.01, Honolulu County, Hawaii",,,1.50E+11,175861,0,15,"Block Group 2, Census Tract 9.01, Honolulu County, Hawaii",645600,105224,1426,804,0.067900315,0.067900315,0,2396,631,0,0,176,16,27,115,269,28,0,0,1972,631,333,298,173,0,0,173
ACSSF,HI,150,0,15,3,903,1,1500000US150030009031,"Block Group 1, Census Tract 9.03, Honolulu County, Hawaii",,,1.50E+11,255525,0,15,"Block Group 1, Census Tract 9.03, Honolulu County, Hawaii",1218800,107366,1093,413,0.098658755,0.098658755,0,1669,403,0,17,2,72,10,53,51,74,43,81,1960,403,260,143,10,0,0,10
ACSSF,HI,150,0,15,3,903,2,1500000US150030009032,"Block Group 2, Census Tract 9.03, Honolulu County, Hawaii",,,1.50E+11,360224,0,15,"Block Group 2, Census Tract 9.03, Honolulu County, Hawaii",1202200,159141,1526,599,0.139083266,0.139083266,0,3063,509,0,0,51,11,43,40,108,104,24,128,1957,509,346,163,90,10,0,80
ACSSF,HI,150,0,15,3,904,1,1500000US150030009041,"Block Group 1, Census Tract 9.04, Honolulu County, Hawaii",,,1.50E+11,648298,0,15,"Block Group 1, Census Tract 9.04, Honolulu County, Hawaii",1433000,165102,2446,801,0.250309259,0.250309259,0,2293,697,0,21,20,28,32,54,40,317,76,109,1954,697,567,130,104,18,0,86
ACSSF,HI,150,0,15,3,905,1,1500000US150030009051,"Block Group 1, Census Tract 9.05, Honolulu County, Hawaii",,,1.50E+11,483896,0,15,"Block Group 1, Census Tract 9.05, Honolulu County, Hawaii",1572200,221128,1335,421,0.186833292,0.186833292,0,1942,421,0,18,35,19,8,7,15,8,212,99,1945,421,364,57,0,0,0,0
ACSSF,HI,150,0,15,3,905,2,1500000US150030009052,"Block Group 2, Census Tract 9.05, Honolulu County, Hawaii",,,1.50E+11,360403,0,15,"Block Group 2, Census Tract 9.05, Honolulu County, Hawaii",1400500,135750,1106,369,0.139152378,0.139152378,0,2633,369,0,6,24,25,57,22,31,68,114,22,1957,369,308,61,0,0,0,0
ACSSF,HI,150,0,15,3,1000,1,1500000US150030010001,"Block Group 1, Census Tract 10, Honolulu County, Hawaii",,,1.50E+11,7495318,0,15,"Block Group 1, Census Tract 10, Honolulu County, Hawaii",937900,64313,1473,427,2.893958569,2.893958569,0,2172,427,0,86,15,22,15,9,62,159,59,0,1960,427,279,148,0,0,0,0
ACSSF,HI,150,0,15,3,1000,2,1500000US150030010002,"Block Group 2, Census Tract 10, Honolulu County, Hawaii",,,1.50E+11,914297,0,15,"Block Group 2, Census Tract 10, Honolulu County, Hawaii",827000,103083,1396,713,0.353012055,0.353012055,0,,654,0,20,27,37,18,46,224,116,159,7,1961,654,580,74,59,0,0,59
ACSSF,HI,150,0,15,3,1101,1,1500000US150030011011,"Block Group 1, Census Tract 11.01, Honolulu County, Hawaii",,,1.50E+11,160304,0,15,"Block Group 1, Census Tract 11.01, Honolulu County, Hawaii",907800,149655,639,238,0.061893724,0.061893724,0,2302,238,0,0,29,5,0,8,83,67,46,0,1961,238,169,69,0,0,0,0
ACSSF,HI,150,0,15,3,1101,2,1500000US150030011012,"Block Group 2, Census Tract 11.01, Honolulu County, Hawaii",,,1.50E+11,158705,0,15,"Block Group 2, Census Tract 11.01, Honolulu County, Hawaii",921100,41786,1168,329,0.061276346,0.061276346,0,1103,312,0,17,0,28,5,63,155,26,0,18,1968,312,36,276,17,14,0,3
ACSSF,HI,150,0,15,3,1102,1,1500000US150030011021,"Block Group 1, Census Tract 11.02, Honolulu County, Hawaii",,,1.50E+11,274628,0,15,"Block Group 1, Census Tract 11.02, Honolulu County, Hawaii",829200,,879,333,0.106034465,0.106034465,0,,333,0,0,7,12,0,62,56,170,26,0,1958,333,231,102,0,0,0,0
ACSSF,HI,150,0,15,3,1102,2,1500000US150030011022,"Block Group 2, Census Tract 11.02, Honolulu County, Hawaii",,,1.50E+11,233406,0,15,"Block Group 2, Census Tract 11.02, Honolulu County, Hawaii",929400,97554,1136,343,0.090118565,0.090118565,0,896,343,0,30,23,8,8,12,72,111,79,0,1958,343,176,167,0,0,0,0
ACSSF,HI,150,0,15,3,1201,1,1500000US150030012011,"Block Group 1, Census Tract 12.01, Honolulu County, Hawaii",,,1.50E+11,214272,0,15,"Block Group 1, Census Tract 12.01, Honolulu County, Hawaii",1094600,100208,1379,526,0.082730882,0.082730882,0,1691,489,0,0,17,63,0,131,194,28,0,56,1967,489,134,355,37,0,0,37
